区コード,ＮＯ,都道府県名,市町村名,名称,名称＿カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,法人の名称,診療科目,病床数,備考
1101,101100168,北海道,札幌市,札幌循環器病院,サッポロジュンカンキビョウイン,病院,北海道札幌市中央区北11条西14丁目29番15号,,43.073385,141.333469,011-747-5821,医療法人社団札幌循環器クリニック,内;消内;循内;腎臓内科（人工透析）,89,
1101,101010144,北海道,札幌市,医療法人社団健心会桑園病院,イリョウホウジンシャダンケンシンカイソウエンビョウイン,病院,北海道札幌市中央区北12条西15丁目1番30号,,43.073012,141.330136,011-716-2497,医療法人社団健心会,心内;精;神,156,
1101,101010388,北海道,札幌市,札幌南一条病院,サッポロミナミイチジョウビョウイン,病院,北海道札幌市中央区南1条西13丁目317番地1,,43.056681,141.338211,011-271-3711,医療法人社団北海道恵愛会,内;呼内;消内;循内;腎臓内科;糖尿病内科;放;リハ;血管外科;人工透析内科　　　　,147,
1101,101010362,北海道,札幌市,社会医療法人医仁会中村記念病院,シャカイイリョウホウジンイジンカイナカムラキネンビョウイン,病院,北海道札幌市中央区南1条西14丁目291番地190,,43.056462,141.336256,011-231-8555,社会医療法人医仁会,内;循内;神内;「糖尿病・代謝内科」;外;消化器外科;消内;整;心外;脳外;眼;耳;リハ;放;麻;病理診断科;小児神経内科,499,
1101,101010027,北海道,札幌市,NTT東日本札幌病院,エヌティティヒガシニホンサッポロビョウイン,病院,北海道札幌市中央区南1条西15丁目290番地,,43.05572,141.334464,011-623-7000,東日本電信電話株式会社,精;呼内;消内;循内;小;外;消化器外科;呼吸器外科;整;皮;泌;産婦;眼;耳;放;麻;心外;腎臓内科;人工透析内科;「血液・腫瘍内科」;糖尿病内分泌内科;リウ;病,301,
1101,101010030,北海道,札幌市,札幌医科大学附属病院,サッポロイカダイガクフゾクビョウイン,病院,北海道札幌市中央区南1条西16丁目291番地,,43.055226,141.333462,011-611-2111,北海道公立大学法人札幌医科大学,内;精;循;小;外;整;形;脳外;心外;皮;泌;産婦;眼;耳;リハ;歯;歯外;麻;脳神経内科;矯歯;救;病;呼外;放射線治療科;放射線診断科,938,
1101,101010229,北海道,札幌市,医療法人萬田記念病院,イリョウホウジンマンダキネンビョウイン,病院,北海道札幌市中央区南2条西1丁目1番地,,43.058785,141.356782,011-231-4032,医療法人萬田記念病院,内;消内;糖尿病内科;腎臓内科;眼,89,
1101,101010216,北海道,札幌市,医療法人社団いとう整形外科病院,イリョウホウジンシャダンイトウセイケイゲカビョウイン,病院,北海道札幌市中央区南2条西10丁目5番地,,43.056657,141.342175,011-241-5461,医療法人社団いとう整形外科病院,内;整;リハ;麻,80,
1101,101010098,北海道,札幌市,一般財団法人札幌同交会病院,イッパンザイダンホウジンサッポロドウコウカイビョウイン,病院,北海道札幌市中央区南2条西19丁目291番地,,43.054506,141.32919,011-611-9131,一般財団法人札幌同交会病院,内;消内;リハ;放;リウ;循内,166,
1101,101100070,北海道,札幌市,札幌南三条病院,サッポロミナミサンジョウビョウイン,病院,北海道札幌市中央区南3条西6丁目4番2号,,43.055979,141.34941,011-233-3711,医療法人社団北海道恵愛会,内;呼外;呼内;消内;脳外;麻;放,99,
1101,101010359,北海道,札幌市,創成東病院,ソウセイヒガシビョウイン,病院,北海道札幌市中央区南3条東3丁目13番地,,43.058113,141.36157,011-222-2117,医療法人えんどう会,内;胃腸内科（内視鏡）;リハ,94,
1101,101100201,北海道,札幌市,医療法人菊郷会愛育病院,イリョウホウジンキクゴウカイアイイクビョウイン,病院,北海道札幌市中央区南4条西25丁目2番1号,,43.05199,141.32061,011-563-2211,医療法人菊郷会,内;消内;循内;血液内科;外;整;小;乳腺外科;リハ;麻;糖尿病内科,164,
1101,101100429,北海道,札幌市,医療法人大空札幌ススキノ病院,イリョウホウジンオオゾラサッポロススキノビョウイン,病院,北海道札幌市中央区南6条西8丁目5番地,,43.052621,141.34668,011-512-2000,医療法人大空,内;外;消内;消外;循内;呼内;リハ;人工透析内科,50,
1101,101100067,北海道,札幌市,医療法人社団清和会南札幌病院,イリョウホウジンシャダンセイワカイミナミサッポロビョウイン,病院,北海道札幌市中央区南9条西7丁目1番23号,,43.048333,141.348336,011-511-3368,医療法人社団清和会,内;呼内;消内;循内;リハ;糖尿病内科;腎臓内科,94,
1101,101010287,北海道,札幌市,札幌中央病院,サッポロチュウオウビョウイン,病院,北海道札幌市中央区南9条西10丁目1番50号,,43.047621,141.342992,011-513-0111,社会医療法人鳩仁会,内;呼内;呼外;消内;消化器外科;循内;外;整;心外;リハ;リウ;麻;腎臓内科;形;糖尿病;内分泌内科;泌,180,
1101,101010476,北海道,札幌市,医療法人社団銀杏会川西内科胃腸科病院,イリョウホウジンシャダンギンナンカイカワニシナイカイチョウカビョウイン,病院,北海道札幌市中央区南11条西8丁目2番25号,,43.044941,141.347425,011-511-2060,医療法人社団銀杏会,内;胃内;消内;内視鏡内科;緩和ケア内科,85,
1101,101010434,北海道,札幌市,医療法人社団心和会心和病院,イリョウホウジンシャダンシンワカイシンワビョウイン,病院,北海道札幌市中央区南13条西20丁目1番6号,,43.041589,141.329171,011-551-4184,医療法人社団心和会心和病院,内;循内;リハ;麻;ペインクリニック内科,40,
1101,101100155,北海道,札幌市,医療法人藻友会札幌いしやま病院,イリョウホウジンソウユウカイサッポロイシヤマビョウイン,病院,北海道札幌市中央区南15条西10丁目4番1号,,43.039356,141.344187,011-551-2241,医療法人藻友会札幌いしやま病院,肛門外科;内視鏡外科（大腸・胃）,89,
1101,101010115,北海道,札幌市,医療法人社団慶愛会札幌花園病院,イリョウホウジンシャダンケイアイカイサッポロハナゾノビョウイン,病院,北海道札幌市中央区南15条西15丁目1番30号,,43.039144,141.335149,011-561-6131,医療法人社団慶愛会,内;精;神,227,
1101,101010173,北海道,札幌市,医療法人社団土田病院,イリョウホウジンシャダンツチダビョウイン,病院,北海道札幌市中央区南21条西9丁目2-11,,43.031065,141.346559,011-531-7013,医療法人社団土田病院,内;呼内;消内;消化器外科;循内;外;整;リハ;放;肛門外科;内分泌外科;救急科,134,
1101,101010258,北海道,札幌市,医療法人社団慈藻会平松記念病院,イリョウホウジンシャダンジソウカイヒラマツキネンビョウイン,病院,北海道札幌市中央区南22条西14丁目1番20号,,43.030054,141.338952,011-561-0708,医療法人社団慈藻会,内;精;心内,228,
1101,101010405,北海道,札幌市,医療法人社団札幌外科記念病院,イリョウホウジンシャダンサッポロゲカキネンビョウイン,病院,北海道札幌市中央区南23条西15丁目1番30号,,43.027429,141.337921,011-563-0151,医療法人社団札幌外科記念病院,内;消内;消化器外科;外;整;小外;肛門外科;放;麻;リハ;循内;循環器外科,99,
1101,101010391,北海道,札幌市,社会医療法人北海道循環器病院,シャカイイリョウホウジンホッカイドウジュンカンキビョウイン,病院,北海道札幌市中央区南27条西13丁目1番30号,,43.023616,141.342532,011-563-3911,社会医療法人北海道循環器病院,内;呼内;消内;循内;外;心外;リハ;麻;放;内分泌;糖尿病内科,95,
1101,101010131,北海道,札幌市,慈啓会病院,ジケイカイビョウイン,病院,北海道札幌市中央区旭ヶ丘5丁目6番50号,,43.036925,141.323191,011-561-8292,社会福祉法人札幌慈啓会,内;精;リハ;老年内科;消内;放射線診断科;漢内,235,
1101,101010317,北海道,札幌市,札幌西円山病院,サッポロニシマルヤマビョウイン,病院,北海道札幌市中央区円山西町4丁目7番25号,,43.040085,141.303401,011-642-4121,医療法人渓仁会,内;神内;リハ;歯;循,603,
1101,101010375,北海道,札幌市,医療法人北仁会旭山病院,イリョウホウジンホクジンカイアサヒヤマビョウイン,病院,北海道札幌市中央区双子山4丁目3番33号,,43.041313,141.312089,011-641-7755,医療法人北仁会,内;精;心内,374,
1101,101010447,北海道,札幌市,医療法人社団明日佳札幌明日佳病院,イリョウホウジンシャダンアスカサッポロアスカビョウイン,病院,北海道札幌市中央区宮の森1条17丁目1番25号,,43.043265,141.293263,011-641-8813,医療法人社団明日佳,内;リハ;歯,243,
1101,101010245,北海道,札幌市,医療法人讃生会宮の森記念病院,イリョウホウジンサンセイカイミヤノモリキネンビョウイン,病院,北海道札幌市中央区宮の森3条7丁目5番25号,,43.062271,141.302666,011-641-6641,医療法人社団讃生会,内;消内;循内;腎臓内科;外;脳外;リハ,92,
1101,101010450,北海道,札幌市,医療法人社団恵和会宮の森病院,イリョウホウジンシャダンケイワカイミヤノモリビョウイン,病院,北海道札幌市中央区宮の森1237番地1,,43.057035,141.292137,011-611-2211,医療法人社団恵和会,内;歯,240,
1102,101020059,北海道,札幌市,医療法人社団太黒胃腸内科病院,イリョウホウジンシャダンオオグロイチョウナイカビョウイン,病院,北海道札幌市北区北11条西3丁目1番15号,,43.07408,141.349117,011-716-9161,医療法人社団太黒胃腸内科病院,内;胃腸内科,60,
1102,101020307,北海道,札幌市,札幌マタニティ・ウイメンズホスピタル,サッポロマタニティ・ウイメンズホスピタル,病院,北海道札幌市北区北13条西4丁目2番23号,,43.076513,141.347462,011-746-5505,医療法人明日葉会,小;産;婦,52,
1102,101020017,北海道,札幌市,北海道大学病院,ホッカイドウダイガクビョウイン,病院,北海道札幌市北区北14条西5丁目,,43.07776,141.345851,011-716-1161,国立大学法人北海道大学,内;消内;循内;血液内科;腫瘍内科;精;神内;小;小外;整;形;脳外;循環器外科;消化器外科;呼吸器外科;皮;泌;産;「乳腺・内分泌内科」;眼;耳;リハ;放;放射線診断科;放射線治療科;歯;矯歯;小歯;歯外;麻;救,944,
1102,101020280,北海道,札幌市,社会医療法人秀眸会大塚眼科病院,シャカイイリョウホウジンシュウボウカイオオツカガンカビョウイン,病院,北海道札幌市北区北16条西4丁目2-17,,43.080137,141.345845,011-747-5211,社会医療法人秀眸会大塚眼科病院,内;眼,52,
1102,101020134,北海道,札幌市,松田整形外科記念病院,マツダセイケイゲカキネンビョウイン,病院,北海道札幌市北区北18条西4丁目1番35号,,43.08209,141.345898,011-746-3666,医療法人松田整形外科記念病院,リウ;整;リハ;麻;歯;歯外,60,
1102,101020033,北海道,札幌市,医療法人社団心優会中江病院,イリョウホウジンシャダンシンユウカイナカエビョウイン,病院,北海道札幌市北区北22条西7丁目18番地2番1号,,43.087351,141.339787,011-716-7181,医療法人社団心優会,内;精;心内;歯,280,
1102,101020150,北海道,札幌市,長生会病院,チョウセイカイビョウイン,病院,北海道札幌市北区北25条西16丁目2番1号,,43.091282,141.324263,011-726-4835,,内;消,120,
1102,101020293,北海道,札幌市,社会医療法人北腎会坂泌尿器科病院,シャカイイリョウホウジンホクジンカイサカヒニョウキカビョウイン,病院,北海道札幌市北区北30条西14丁目3番1号,,43.099573,141.326684,011-709-1212,医療法人社団北腎会,循;泌;麻,40,
1102,101020091,北海道,札幌市,社会医療法人北楡会開成病院,シャカイイリョウホウジンホクユカイカイセイビョウイン,病院,北海道札幌市北区北33条西6丁目2番35号,,43.100007,141.338539,011-757-2201,社会医療法人北楡会,内;消内;血液内科;外;麻,108,
1102,101020176,北海道,札幌市,医療法人社団憲仁会牧田病院,イリョウホウジンシャダンケンジンカイマキタビョウイン,病院,北海道札幌市北区新琴似1条2丁目6番25号,,43.103184,141.325098,011-761-4835,医療法人社団憲仁会,内;呼;アレ,57,
1102,101020118,北海道,札幌市,医療法人研成会札幌鈴木病院,イリョウホウジンシャダンケンセイカイサッポロスズキビョウイン,病院,北海道札幌市北区新琴似3条1丁目1番27号,,43.104686,141.330156,011-709-5511,医療法人社団研成会,内;心内;精;神;胃;循内;神内,163,
1102,101020219,北海道,札幌市,医療法人麻生整形外科病院,イリョウホウジンアザブセイケイゲカビョウイン,病院,北海道札幌市北区新琴似8条2丁目2番5号,,43.112858,141.332713,011-764-3311,医療法人麻生整形外科病院,整;リハ;麻,53,
1102,101020046,北海道,札幌市,医療法人社団北札幌病院,イリョウホウジンシャダンキタサッポロビョウイン,病院,北海道札幌市北区新琴似9条1丁目1番1号,,43.112674,141.337285,011-756-1111,医療法人社団北札幌病院,内;呼吸気内科;循内;消内;外;整,95,
1102,101020062,北海道,札幌市,晴生会さっぽろ病院,セイセイカイサッポロビョウイン,病院,北海道札幌市北区新川1条1丁目1番23号,,43.09376,141.320866,011-716-8155,医療法人晴生会,内;リハ,93,
1102,101020105,北海道,札幌市,医療法人新川新道整形外科病院,イリョウホウジンシンカワシンドウセイケイゲカビョウイン,病院,北海道札幌市北区新川5条4丁目2番8号,,43.102883,141.32089,011-763-0110,医療法人新川新道整形外科病院,整;リハ;麻;ペインクリニック外科;漢方内科;リウ;内,72,
1102,101020147,北海道,札幌市,特定医療法人朋友会石金病院,トクテイイリョウホウジンホウユウカイイシガネビョウイン,病院,北海道札幌市北区新川714番地2,,43.120233,141.298924,011-762-4111,特定医療法人朋友会,内;精;神,210,
1102,101020163,北海道,札幌市,社会医療法人延山会北成病院,シャカイイリョウホウジンエンザンカイホクセイビョウイン,病院,北海道札幌市北区新川西3条2丁目10番1号,,43.124291,141.287384,011-764-3021,社会医療法人延山会,内;呼;消;循;放,138,
1102,101020235,北海道,札幌市,医療法人社団栄杜会小原病院,イリョウホウジンシャダンエイトカイオバラビョウイン,病院,北海道札幌市北区屯田9条12丁目5-1,,43.144345,141.316882,011-771-0881,医療法人社団栄杜会小原病院,内;精;神,145,
1102,101020251,北海道,札幌市,医療法人社団札幌百合の会病院,イリョウホウジンシャダンサッポロユリノカイビョウイン,病院,北海道札幌市北区百合が原11丁目186,,43.131936,141.367517,011-771-1501,医療法人社団札幌百合の会病院,内;消内;呼内;循内;リハ;糖尿病内科;内分泌内科,136,
1102,101020075,北海道,札幌市,医療法人社団荒木病院,イリョウホウジンシャダンアラキビョウイン,病院,北海道札幌市北区篠路3条2丁目1番92号,,43.145143,141.354151,011-771-5731,医療法人社団荒木病院,内;精;神,148,
1102,101020192,北海道,札幌市,社会医療法人康和会札幌しらかば台篠路病院,シャカイイリョウホウジンコウワカイサッポロシラカバダイシノロビョウイン,病院,北海道札幌市北区篠路7条4丁目2番15号,,43.152514,141.35892,011-773-0711,社会医療法人康和会,内;消内;リハ,180,
1102,101020088,北海道,札幌市,医療法人社団五稜会病院,イリョウホウジンシャダンゴリョウカイビョウイン,病院,北海道札幌市北区篠路9条6丁目2番3号,,43.155236,141.364103,011-771-5660,医療法人社団五稜会病院,内;心内;精;消内,193,
1102,101020121,北海道,札幌市,医療法人社団翔嶺館札幌優翔館病院,イリョウホウジンシャダンショウレイカンサッポロユウショウカンビョウイン,病院,北海道札幌市北区東茨戸2条2丁目8番25号,,43.164768,141.357989,011-772-9211,医療法人社団翔嶺館,内;外;消内;循内;呼内;リハ;神経精神科;人工透析外科,144,
1102,101100184,北海道,札幌市,北海道医療大学病院,ホッカイドウイリョウダイガクビョウイン,病院,北海道札幌市北区あいの里2条5丁目,,43.16028,141.397822,011-778-7575,学校法人東日本学園,内;消内;呼内;循内;小;皮;整;耳;心内;歯;小歯;矯歯;歯外;眼,24,
1103,101030036,北海道,札幌市,天使病院,テンシビョウイン,病院,北海道札幌市東区北12条東3丁目1-1,,43.076374,141.357367,011-711-0101,社会医療法人母恋,内;呼内;消内;循内;外;小児外科;乳外;産婦;小;麻;整;耳;眼;精;放;血液内科;「糖尿病・代謝内科」;肝臓内科;人工透析内科;形,260,
1103,101030267,北海道,札幌市,医療法人社団誠心会誠心眼科病院,イリョウホウジンシャダンセイシンカイセイシンガンカビョウイン,病院,北海道札幌市東区北15条東18丁目5番15号,,43.083352,141.378973,011-785-3111,医療法人社団誠心会,眼,23,
1103,101030238,北海道,札幌市,医療法人社団札幌道都病院,イリョウホウジンシャダンサッポロドウトビョウイン,病院,北海道札幌市東区北17条東14丁目3番2号,,43.08464,141.371656,011-731-1155,医療法人社団札幌道都病院,内;呼内;消内;消化器外科;循内;神内;外;肛門外科;リハ;形;放;麻,188,
1103,101030111,北海道,札幌市,医療法人育愛会札幌東豊病院,イリョウホウジンイクアイカイサッポロトウホウビョウイン,病院,北海道札幌市東区北17条東15丁目3番1号,,43.084904,141.372409,011-704-3911,医療法人育愛会,小;産;婦;麻,67,
1103,101100386,北海道,札幌市,医療法人セレスさっぽろ神経内科病院,イリョウホウジンセレスサッポロシンケイナイカビョウイン,病院,北海道札幌市東区北21条東21丁目2番1号,,43.090745,141.383316,011-870-5700,医療法人セレス,神内;内;ペインクリニック内科;リハ,62,
1103,101100328,北海道,札幌市,医療法人札幌麻生脳神経外科病院,イリョウホウジンサッポロアザブノウシンケイゲガビョウイン,病院,北海道札幌市東区北22条東1丁目1番40号,,43.088236,141.349864,011-731-2321,医療法人札幌麻生脳神経外科病院,神内;脳外;リハ;放,145,
1103,101100214,北海道,札幌市,医療法人社団我汝会さっぽろ病院,イリョウホウジンシャダンワジョカイサッポロビョウイン,病院,北海道札幌市東区北24条東1丁目3番7号,,43.091694,141.350038,011-753-3030,医療法人社団我汝会,整;リハ;麻,50,
1103,101030179,北海道,札幌市,社会医療法人社団愛心館愛心メモリアル病院,シャカイイリョウホウジンシャダンアイシンカンメモリアルビョウイン,病院,北海道札幌市東区北27条東1丁目1番15号,,43.094002,141.347383,011-752-3535,社会医療法人社団愛心館,循内;人工透析内科;外;心外;眼;皮,71,
1103,101030182,北海道,札幌市,北光記念病院,ホッコウキネンビョウイン,病院,北海道札幌市東区北27条東8丁目1番6号,,43.096647,141.36084,011-722-1133,社会医療法人社団カレスサッポロ,内;消内;循内;心外;放;腎臓内科,145,
1103,101030023,北海道,札幌市,医療法人啓生会病院,イリョウホウジンケイセイカイビョウイン,病院,北海道札幌市東区北27条東20丁目5番25号,,43.099561,141.381571,011-781-9321,医療法人啓生会,精;心内,211,
1103,101030137,北海道,札幌市,札幌東和病院,サッポロトウワビョウイン,病院,北海道札幌市東区北30条東18丁目8番1号,,43.101091,141.376827,011-784-1118,,内;リハ;放,210,
1103,101030166,北海道,札幌市,医療法人徳洲会札幌東徳洲会病院,サッポロヒガシトクシュウカイビョウイン,病院,北海道札幌市東区北33条東14丁目3番1号,,43.103563,141.366008,011-722-1110,医療法人徳洲会,内;呼内;消内;腎臓内科;循内;小;外;消化器外科;整;脳外;心外;皮;形;耳;リハ;眼;麻;歯外;病理診断科;肛門外科;救急科;乳腺外科;放射線診断科;放射線治療科;「血液・腫瘍内科」;泌;頭頸部外科,325,
1103,101030209,北海道,札幌市,社会医療法人耳鼻咽喉科麻生病院,シャカイイリョウホウジンジビインコウカアサブビョウイン,病院,北海道札幌市東区北40条東1丁目1番7号,,43.107981,141.344641,011-731-4133,社会医療法人耳鼻咽喉科麻生,耳;気;麻;歯外,35,
1103,101100399,北海道,札幌市,北海道泌尿器科記念病院,ホッカイドウヒニョウキカキネンビョウイン,病院,北海道札幌市東区北41条東1丁目1番25号　,,43.109567,141.344782,011-711-1717,医療法人エム・ティー・エヌ,泌;放;麻,40,
1103,101030225,北海道,札幌市,特定医療法人とこはる東栄病院,トクテイイリョウホウジントコハルトウエイビョウイン,病院,北海道札幌市東区北41条東16丁目3番14号,,43.112792,141.367502,011-782-0111,特定医療法人とこはる,内;消内;糖尿病内科;小児科（感染症・アレルギー疾患）,52,
1103,101100416,北海道,札幌市,社会医療法人禎心会札幌禎心会病院,シャカイイリョウホウジンテイシンカイサッポロテイシンカイビョウイン,病院,北海道札幌市東区北33条東1丁目3番1号,,43.100929,141.346421,011-712-1131,社会医療法人禎心会,内;神内;形;脳外;心外;婦;歯;リハ;麻;歯外;消内;循内;腫内;消外;乳外;放射線診断科;放射線治療科;頭頸部外科;病理診断科;ペインクリニック外科;呼内,279,
1103,101100344,北海道,札幌市,札幌心臓血管クリニック,サッポロシンゾウケッカンクリニック,病院,北海道札幌市東区北49条東16丁目8番1号,,43.122673,141.365315,011-784-7847,医療法人札幌ハートセンター,内;循内;心臓内科;心外;麻,85,
1103,101030195,北海道,札幌市,医療法人社団豊生会東苗穂病院,イリョウホウジンシャダンホウセイカイヒガシナエボビョウイン,病院,北海道札幌市東区東苗穂3条1丁目2番18号,,43.088144,141.399568,011-784-1121,医療法人社団豊生会,内;呼内;消内;循内;神内;腎臓内科（人工透析）;リハ;歯;老年脳神経外科;心外;放,161,
1103,101100357,北海道,札幌市,勤医協中央病院,キンイキョウチュウオウビョウイン,病院,北海道札幌市東区東苗穂5条1丁目9番1号,,43.091468,141.403087,011-782-9111,公益社団法人北海道勤労者医療協会,内;外;整;麻;放射線治療科;眼;婦;リハ;精;心外;呼外;泌;乳腺外科;肛門外科;呼内;消内;循内;消化器外科;緩和ケア内科;リウ;「糖尿病・内分泌内科」;腎臓内科;肝臓外科;膵臓外科;放射線診断科;病理診断科;救急科;血液内科;脳神経内科,450,
1103,101030094,北海道,札幌市,医療法人社団英仁会札苗病院,イリョウホウジンシャダンエイジンカイサツナエビョウイン,病院,北海道札幌市東区東苗穂7条2丁目8番20号,,43.09511,141.412222,011-783-3311,医療法人社団英仁会,内;消内;循内;リハ,54,
1103,101030049,北海道,札幌市,医療法人社団大蔵会札幌佐藤病院,イリョウホウジンシャダンオオクラカイサッポロサトウビョウイン,病院,北海道札幌市東区伏古2条4丁目10番15号,,43.082941,141.391633,011-781-5511,医療法人社団大蔵会札幌佐藤病院,内;心内;精;神経精神科;整;リハ;歯;小歯;歯外,244,
1103,101030140,北海道,札幌市,社会医療法人朋仁会整形外科北新東病院,シャカイイリョウホウジンホウジンカイセイケイゲカホクシンヒガシビョウイン,病院,北海道札幌市東区伏古5条3丁目3番2号,,43.088343,141.391746,011-782-8339,社会医療法人朋仁会,整;リハ;麻,60,
1103,101030254,北海道,札幌市,医療法人彰和会北海道消化器科病院,イリョウホウジンショウワカイホッカイドウショウカキカビョウイン,病院,北海道札幌市東区本町1条1丁目2番10号,,43.080466,141.378767,011-784-1811,医療法人彰和会,内;消内;消化器外科;外;腫瘍内科;肛門外科;放;麻;病理診断科;緩和ケア内科,199,
1103,101030153,北海道,札幌市,社会医療法人社団三草会クラーク病院,シャカイイリョウホウジンシャダンサンソウカイクラークビョウイン,病院,北海道札幌市東区本町2条4丁目8番20号,,43.079717,141.389633,011-782-6160,社会医療法人社団三草会,内;消内;循内;リウ;整;泌;リハ;麻,225,
1104,101040130,北海道,札幌市,医療法人社団三樹会病院,イリョウホウジンシャダンサンジュカイビョウイン,病院,北海道札幌市白石区東札幌2条3丁目6番10号,,43.049173,141.387046,011-824-3131,医療法人社団三樹会病院,皮;泌;放;麻,99,
1104,101040273,北海道,札幌市,医療法人東札幌病院,イリョウホウジンヒガシサッポロビョウイン,病院,北海道札幌市白石区東札幌3条3丁目7番35号,,43.050689,141.387643,011-812-2311,医療法人東札幌病院,内;呼内;消内;循内;糖尿病内科;血液内科;腫瘍内科;緩和ケア内科;心内;外;消化器外科;「胃・大腸・肛門外科」;乳腺外科;内分泌外科;放;歯;歯外;麻,243,
1104,101100243,北海道,札幌市,医療法人社団明日佳白石明日佳病院,イリョウホウジンシャダンアスカシロイシアスカビョウイン,病院,北海道札幌市白石区東札幌5条5丁目2番5号,,43.050878,141.394715,011-823-5151,医療法人社団明日佳,内;循内;リハ;歯,99,
1104,101040299,北海道,札幌市,医療法人社団明珠会札幌白石産科婦人科病院,イリョウホウジンシャダンアケミカイサッポロシロイシサンカフジンカビョウイン,病院,北海道札幌市白石区東札幌5条6丁目6番28号,,43.048273,141.398453,011-862-7211,医療法人社団明珠会,産;婦;麻;新生児内科,41,
1104,101040303,北海道,札幌市,社会医療法人北楡会札幌北楡病院,シャカイイリョウホウジンホクユカイサッポロホクユビョウイン,病院,北海道札幌市白石区東札幌6条6丁目5番1号,,43.049067,141.39922,011-865-0111,社会医療法人北楡会,内;消内;呼内;循内;血液内科;腎臓内科;糖尿病代謝内科;緩和ケア内科;外;腎臓移植外科;整;泌;小;放;麻;歯;肛門外科;消化器外科,281,
1104,101040097,北海道,札幌市,医療法人社団同仁会長野病院,イリョウホウジンシャダンドウジンカイナガノビョウイン,病院,北海道札幌市白石区中央3条5丁目4番30号,,43.060375,141.402866,011-861-1037,医療法人社団同仁会,内;精;心内,282,
