No,業種区分,施設名称,施設所在地,施設所在地,施設ビル名,施設TEL,開設者名,代表者肩書,代表者名,確認番号,確認年月日,前月新確認施設(確認年月日)
77,クリーニング工場,有限会社　片岡クリーニング商会,北海道札幌市中央区南８条西１６丁目３－２０,札幌市中央区南８条西１６丁目３－２０,,011-551-9244,有限会社片岡クリーニング商会,代表取締役,片岡稔,札保中確認（ク）第9号,2000-07-25,
78,取次所,ファッションクリーニングプラス１,北海道札幌市中央区南８条西１７丁目３－１４,札幌市中央区南８条西１７丁目３－１４,八条シャトー桂和　１Ｆ,011-551-3478,有限会社片岡クリーニング,代表取締役,片岡稔,札中保衛確認（ク）第10号,1995-10-09,
79,取次所,西友旭ヶ丘店,北海道札幌市中央区南８条西２５丁目,札幌市中央区南８条西２５丁目,,011-561-0186,株式会社エンパイアー,代表取締役,山下譲,札中保衛確認（ク）第14号,1986-06-12,
80,取次所,プライムアーバン札幌リバーフロント,北海道札幌市中央区南９条西１丁目１－１,札幌市中央区南９条西１丁目１－１,,011-520-7527,エムエムエスマンションマネージメントサービス株式会社,代表取締役,堂守貴志,札保環確認（ク）第5号,2015-05-22,
81,取次所,ホワイト急便南９条店,北海道札幌市中央区南９条西３丁目２－１,札幌市中央区南９条西３丁目２－１,,,中川隆憲,,,札保環確認（ク）第38号,2007-10-23,
82,クリーニング工場,（有）ファーストヨシダクリーニング　ソフター店,北海道札幌市中央区南９条西９丁目２－１２,札幌市中央区南９条西９丁目２－１２,,,有限会社ファーストヨシダクリーニング,代表取締役,吉田純治,札保環確認（ク）第21号,2010-10-20,
83,クリーニング工場,有限会社ファーストヨシダクリーニング,北海道札幌市中央区南９条西１２丁目,札幌市中央区南９条西１２丁目,,011-563-1217,有限会社ファーストヨシダクリーニング,代表取締役,吉田純治,札中保衛確認（ク）第14号,1984-07-27,
84,取次所,エンパイアー南９条店,北海道札幌市中央区南９条西１７丁目１－１,札幌市中央区南９条西１７丁目１－１,エスポワール旭山１階,011-522-5270,株式会社エンパイアー,代表取締役,山下譲,札保環確認（ク）第9号,2017-10-06,
85,クリーニング工場,札幌パークホテルリネン係,北海道札幌市中央区南１０条西３丁目１番１号,札幌市中央区南１０条西３丁目１番１号,札幌パークホテルＢ３Ｆ,011-511-3131,株式会社グランビスタホテル＆リゾート,代表取締役,須田貞則,札中保衛確認（ク）第1号,1978-03-11,
86,取次所,べネショップ　ノボテル札幌店,北海道札幌市中央区南１０条西６丁目１－１,札幌市中央区南１０条西６丁目１－１,ノボテル札幌Ｂ１Ｆ,011-561-1000,株式会社べネック,代表取締役,山田修,札保環確認（ク）第35号,2012-10-17,
87,取次所,クリーンパートナーチャオ　新通り店,北海道札幌市中央区南１０条西６丁目６番２０号,札幌市中央区南１０条西６丁目６番２０号,ケーズパーク中島　１F,011-531-7658,丸賞木下洗業株式会社,代表取締役,菅原信明,札保環確認（ク）第43号,2013-02-15,
88,クリーニング工場,有限会社ドライソフターエス・アンド・エス,北海道札幌市中央区南１１条西１丁目３－２３,札幌市中央区南１１条西１丁目３－２３,,011-511-8788,有限会社ドライソフターエス・アンド・エス,代表取締役,澤志佐夫,札中保衛確認（ク）第14号,1993-02-24,
89,クリーニング工場,株式会社エンパイアー札幌西支店,北海道札幌市中央区南１１条西１５丁目,札幌市中央区南１１条西１５丁目,,011-561-0186,株式会社エンパイアー,代表取締役,山下譲,札中保衛確認（ク）第6721号,1950-08-01,
90,取次所,白洗舎クリーニング南１１条店,北海道札幌市中央区南１１条西１７丁目２－３５,札幌市中央区南１１条西１７丁目２－３５,,011-552-6628,井元白洗舎クリーニング株式会社,代表取締役,井元英明,札中保衛確認（ク）第16号,1997-03-13,
91,取次所,ダスキン南１１条支店,北海道札幌市中央区南１１条西１８丁目２－１,札幌市中央区南１１条西１８丁目２－１,,011-532-7558,株式会社ダスキン岩内,代表取締役,干場正吉,札保環確認（ク）第20号,2006-06-16,
92,取次所,エンパイアーラルズ啓明,北海道札幌市中央区南１１条西２１丁目４－１,札幌市中央区南１１条西２１丁目４－１,,011-533-1455,株式会社エンパイアー,代表取締役,山下譲,札保中確認（ク）第1号,2000-04-20,
93,取次所,白洗舎クリーニング株式会社旭ヶ丘店,北海道札幌市中央区南１１条西２２丁目２,札幌市中央区南１１条西２２丁目２,１１２２ビル１Ｆ,011-533-9117,井元白洗舎クリーニング株式会社,代表取締役,井元英明,札中保衛確認（ク）第12号,1994-01-31,
94,取次所,Ｂｒｉｌｌｉａ　旭ヶ丘,北海道札幌市中央区南１１条西２３丁目２－１,札幌市中央区南１１条西２３丁目２－１,Ｂｒｉｌｌｉａ　旭ヶ丘　１Ｆ,,株式会社アスク,代表取締役,泉澤豊,札保環確認（ク）第40号,2009-02-24,
95,取次所,クリーニングエース　ラルズ山鼻店,北海道札幌市中央区南１２条西１１丁目２－１０,札幌市中央区南１２条西１１丁目２－１０,ラルズ山鼻店,011-521-6677,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第13号,2013-07-10,
96,取次所,ダスキン　山鼻,北海道札幌市中央区南１２条西１７丁目４－５,札幌市中央区南１２条西１７丁目４－５,,011-563-3619,株式会社外山,代表取締役,外山勝敏,札保環確認（ク）第3号,2006-04-10,
97,取次所,ホワイト急便　行啓通店,北海道札幌市中央区南１４条西８丁目５番３２号,札幌市中央区南１４条西８丁目５番３２号,クリオ行啓通伍番館　１Ｆ,050-5823-6876,株式会社アルト,代表取締役,小林信彦,札保環確認（ク）第30号,2012-09-21,
98,クリーニング工場,井元白洗舎クリーニング株式会社,北海道札幌市中央区南１４条西９丁目１－１,札幌市中央区南１４条西９丁目１－１,,011-511-5253,井元白洗舎クリーニング株式会社,代表取締役,井元英明,札中保衛確認（ク）第7号,1990-05-25,
99,取次所,クリーニングアット　東光ストア行啓通店,北海道札幌市中央区南１４条西９丁目１－１５,札幌市中央区南１４条西９丁目１－１５,東光ストア行啓通店内,011-532-6464,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第14号,2012-05-24,
100,取次所,クリーンパートナー　チャオ　南１４条店,北海道札幌市中央区南１４条西１５丁目１番３号,札幌市中央区南１４条西１５丁目１番３号,,011-551-2262,丸賞木下洗業株式会社,代表取締役,菅原信明,札保環確認（ク）第1号,2009-04-01,
101,クリーニング工場,株式会社エンパイアー伏見店,北海道札幌市中央区南１４条西１９丁目,札幌市中央区南１４条西１９丁目,,011-520-2012,株式会社エンパイアー,代表取締役,山下譲,札保環確認（ク）第94号,2003-03-20,
102,取次所,白洗舎クリーニング南１６条店,北海道札幌市中央区南１６条西６丁目２－２０,札幌市中央区南１６条西６丁目２－２０,,011-521-5002,花田弘男,,,札中保衛確認（ク）第13号,1997-02-12,
103,取次所,白洗舎クリーニング南１６条店,北海道札幌市中央区南１６条西６丁目２－２０,札幌市中央区南１６条西６丁目２－２０,,011-521-5202,井元白洗舎クリーニング株式会社,代表取締役,井元英明,札保環確認（ク）第30号,2013-11-26,
104,取次所,高島クリーニング,北海道札幌市中央区南１７条西７丁目,札幌市中央区南１７条西７丁目,,011-511-2842,高島洋幸,,,札中保衛確認（ク）第16号,1986-07-17,
105,クリーニング工場,森　クリーニング,北海道札幌市中央区南１７条西１６丁目,札幌市中央区南１７条西１６丁目,,011-561-1968,森義明,,,札保中確認（ク）第12号,2002-03-20,
106,取次所,ヒマワリクリーニング,北海道札幌市中央区南１７条西１７丁目,札幌市中央区南１７条西１７丁目,,011-563-6945,加藤範雄,,,札中保衛確認（ク）第15号,1981-09-05,
107,取次所,エンパイアー　南１９条店,北海道札幌市中央区南１９条西８丁目,札幌市中央区南１９条西８丁目,,011-531-5445,株式会社エンパイアー,代表取締役,山下譲,札保環確認（ク）第29号,2004-09-30,
108,取次所,白洗舎クリーニング南１９条店,北海道札幌市中央区南１９条西１０丁目２－２３,札幌市中央区南１９条西１０丁目２－２３,,011-511-7752,池守桂,,,札保中確認（ク）第14号,2001-01-24,
109,取次所,ホワイト急便　南１９条西１１丁目店,北海道札幌市中央区南１９条西１１丁目２番５号,札幌市中央区南１９条西１１丁目２番５号,,050-5862-0272,株式会社アルト,代表取締役,小林信彦,札保環確認（ク）第20号,2013-09-25,
110,クリーニング工場,社会福祉法人北海道リハビリー　セルプさっぽろウェルプラザ山鼻,北海道札幌市中央区南１９条西１４丁目１番２３号,札幌市中央区南１９条西１４丁目１番２３号,,011-561-3309,社会福祉法人北海道リハビリー,理事長,石崎岳,札保環確認（ク）第16号,2008-06-27,
111,取次所,クリーンパートナーチャオ　山鼻店,北海道札幌市中央区南２１条西１１丁目４-１２,札幌市中央区南２１条西１１丁目４-１２,,011-563-3996,丸賞木下洗業株式会社,代表取締役,菅原信明,札保環確認（ク）第54号,2008-02-14,
112,取次所,南２２条店,北海道札幌市中央区南２２条西９丁目１－２,札幌市中央区南２２条西９丁目１－２,,011-531-0255,株式会社エンパイアー,代表取締役,山下譲,札中保衛確認（ク）第5号,1995-06-16,
113,取次所,クリーニングアット　東光ストア　プロム山鼻店,北海道札幌市中央区南２２条西１２丁目１－２,札幌市中央区南２２条西１２丁目１－２,東光ストア内,011-563-3110,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第21号,2012-06-21,
114,取次所,ワタキュークリーン自衛隊本部店,北海道札幌市中央区南２６条西１０丁目,札幌市中央区南２６条西１０丁目,厚生センター２Ｆ,011-552-3476,株式会社ワタキュークリーン,代表取締役,鳥井健次,札保環確認（ク）第39号,2009-12-09,
115,取次所,サンシャインクリーニング　総監部店,北海道札幌市中央区南２６条西１０丁目,札幌市中央区南２６条西１０丁目,札幌駐屯地　厚生センター内,011-791-8282,有限会社サンシャインクリーニング,取締役,山崎隆生,札保環確認（ク）第31号,2015-03-18,
