都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金.基本.,料金.詳細.,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
271004,,大阪府,大阪市,大阪市立東住吉図書館,オオサカシリツヒガシスミヨシトショカン,,,東住吉区東田辺2-11-28,,34.620514,135.527503,,,,,,,,,,,,大阪市立東住吉図書館,06-6699-7000,,,,,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立東成図書館,オオサカシリツヒガシナリトショカン,,,東成区大今里西3丁目2番17号,,34.6681847,135.5412311,,,,,,,,,,,,大阪市立東成図書館,06-6972-0727,,,,http://www.oml.city.osaka.jp/info/63higashinari/,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立福島図書館,オオサカシリツフクシマトショカン,,,福島区吉野3-17-23（区民センター3階）,,34.6913921,135.4731311,,,,,,,,,,,,大阪市立福島図書館,06-6468-2336,,,,http://www.oml.city.osaka.jp/info/53fukushima/,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立西淀川図書館,オオサカシリツニシヨドガワトショカン,,,西淀川区御幣島1丁目2番10号,,34.7111331,135.4561112,,,,,,,,,,,,大阪市立西淀川図書館,06-6474-7900,,,,http://www.oml.city.osaka.jp/info/60nishiyodogawa/,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立大正図書館,オオサカシリツタイショウトショカン,,,大正区千島2-6-15,,34.6509919,135.4720673,,,,,,,,,,,,大阪市立大正図書館,06-6552-1116,,,,http://www.oml.city.osaka.jp/info/57taisho/,文化・観光/図書館
271004,,大阪府,大阪市,大阪市立鶴見図書館,オオサカシリツツルミトショカン,,,鶴見区横堤5-3-15,,34.704533,135.5735138,,,,,,,,,,,,大阪市立鶴見図書館,06-6913-0772,,,,http://www.oml.city.osaka.jp/info/67tsurumi/,文化・観光/図書館
271004,,大阪府,大阪市,咲くやこの花館,サクヤコノハナカン,,,鶴見区緑地公園２−１６３,,34.710103,135.5736277,,,,,,,,,,,https://www.osaka-heartfulweb.jp/180401.html,咲くやこの花館,06-6912-0055,,,,http://www.sakuyakonohana.com/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立天王寺図書館,オオサカシリツテンノウジトショカン,,,天王寺区上之宮町4-47,,34.6614892,135.5220693,,,,,,,,,,,https://www.osaka-heartfulweb.jp/090501.html,大阪市立天王寺図書館,06-6771-2840,,,,http://www.oml.city.osaka.jp/info/58tennoji/index.html,文化・観光/図書館
271004,,大阪府,大阪市,天王寺動植物公園事務所,テンノウジドウショクブツコウエンジムショ,,,天王寺区茶臼山1-108,,34.651286,135.5103248,,,,,,,,,,,,天王寺動植物公園事務所,06-6771-8401,,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立美術館,オオサカシリツビジュツカン,,,天王寺区茶臼山1-82,,34.650142,135.510442,,,,,,,,,,,https://www.osaka-heartfulweb.jp/090401.html,大阪市立美術館,06-6771-4874,,,,http://www.city.osaka.lg.jp/museum/,文化・観光/美術館・博物館
271004,,大阪府,大阪市,長生庵,チョウセイアン,,,天王寺区茶臼山町1-108　天王寺公園慶沢園内,,34.6505862,135.511361,,,,,,,,,,,,長生庵,06-6771-8401(天王寺動植物公園事務所),,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,慶沢園,ケイタクエン,,,天王寺区茶臼山町1-108　天王寺公園内,,34.649883,135.5110329,,,,,,,,,,,,慶沢園,06-6771-8401(天王寺動植物公園事務所),,,,,文化・観光/美術館・博物館
271004,,大阪府,大阪市,天王寺動物園,テンノウジドウブツエン,,,天王寺区茶臼山町1-108　天王寺公園内,,34.6507395,135.5076049,,,,,,,,,,,,天王寺動物園,06-6771-8401 (天王寺動植物公園事務所),,,,http://www.jazga.or.jp/tennoji,文化・観光/美術館・博物館
271004,,大阪府,大阪市,大阪市立生野図書館,オオサカシリツイクノトショカン,,,生野区勝山南4丁目7番11号,,34.653167,135.5397583,,,,,,,,,,,https://www.osaka-heartfulweb.jp/150501.html,大阪市立生野図書館,06-6717-2381,,,,http://www.oml.city.osaka.jp/info/64ikuno/,文化・観光/図書館
271004,,大阪府,大阪市,ビジターズインフォメーションセンター・難波,ビジターズインフォメーションセンター・ナンバ,,,中央区難波5-1-60　南海ターミナルビル1F,,34.6642134,135.5010818,,,,,,,,,,,,ビジターズインフォメーションセンター・難波,06-6631-9100,,,,https://osaka-chushin.jp/spot/10620,文化・観光/その他施設
271004,,大阪府,大阪市,大阪市立西成図書館,オオサカシリツニシナリトショカン,,,西成区岸里1丁目1番50号,,34.6344684,135.4948854,,,,,,,,,,,,大阪市立西成図書館,06-6659-2346,,,,http://www.oml.city.osaka.jp/info/73nishinari/,文化・観光/図書館
271004,,大阪府,大阪市,大阪城本丸東側の諸櫓,オオサカジョウホンマルヒガシガワノショヤグラ,,,中央区大阪城,,34.6861219,135.5270557,,,,,,,上段の写真：幕末撮影・中段の写真：平成23年撮影 ◇◇ 慶応4年(1868)1月に炎上する前の大阪城本丸の外観を伝える幕末の湿式写真で、三層の隅櫓(手前から馬印櫓・月見櫓・糒櫓)とそれらを連結する多聞塀が石垣の上に建ち並んでいたが、明治維新の前夜、激動する時代を象徴するかのように、城内の建物群の多くとともに燃え尽きる。その後、大阪城内と周辺は軍用施設に占められることになり、昭和20年の空襲の標的になる。戦後は、昭和6年に再建された天守閣とともに、大阪城全体が公園として整備され、今の景色が市民に親しまれている。,,,,,大阪城本丸東側の諸櫓,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,初代の大阪駅,ショダイノオオサカエキ,,,北区梅田3丁目2,,34.7006956,135.4939503,,,,,,,上段の写真：明治7年(1874)撮影・中段の写真：平成23年撮影 ◇◇ 明治7年5月11日、大阪−神戸間に鉄道が開通、同9年9月5日には大阪−京都間が開通した。大阪駅舎は赤レンガ造り2階建洋風の当時としては瀟洒な停留場で、駅の出入口に庭園や池が設けられ、梅田ステンショといわれた。同34年に、新駅舎が東寄りの現在地に建築されて、駅舎の跡地は構内施設として利用されたが、昭和14年、大阪中央郵便局が移転開設された(中郵の裏あたりが旧駅舎の位置)。当時の逓信省営繕課の吉田鉄郎設計による鉄骨鉄筋コンクリート造7階建の局舎は、大阪駅前の1つの顔として長く親しまれてきたが、最近、隣接ビルとあわせた建替計画が進められている。,,,,,初代の大阪駅,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,造幣局と外輪船,ゾウヘイキョクトガイリンセン,,,北区天満1丁目1,,34.6968995,135.5215142,,,,,,,上段の写真：明治4年(1871)撮影・中段の写真：平成23年撮影 ◇◇ 明治4年4月、造幣局(当初は造幣寮)が画期的な洋式設備で貨幣製造を開始、わが国の近代的工業のさきがけとなった。左方に鋳造所の正面玄関、外輪船の行く大川に面した西洋建築の威容に人々は目を見はった。その後、昭和4年から3期にわたって工場・庁舎の改築を行い、昭和13年に全体が完成した。また、明治16年からは、構内の桜並木の一般開放を始め、以来「通り抜け」として大阪の春の風物詩となり、多くの人々で賑わっている。(平成15年に、独立行政法人造幣局となった。),,,,,造幣局と外輪船,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,八軒家船着き場,ハチケンヤフナツキバ,,,中央区天満橋京町1,,34.6907462,135.5161647,,,,,,,上段の写真：明治初年撮影・中段の写真：平成23年撮影・下段の写真：昭和17年撮影 ◇◇ 天満橋と天神橋の中間にあった大川南岸の古くからの船着き場で、8軒の船宿があったため八軒家と呼ばれた。江戸時代には、大坂と京・伏見を結ぶ三十石船など多数の船が発着したが、鉄道の発達とともに衰微した。のち平成20年に、京阪中之島線の整備に伴って、京阪天満橋駅と直結する八軒家浜船着場として、水上バス・観光船の桟橋や商業施設が整備され、つづいて大川沿いを天神橋まで続く水辺の遊歩道も整備されて、水都大阪の再生を着実に進めている。,,,,,八軒家船着き場,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,川口波止場,カワグチハトバ,,,西区川口3丁目,,34.6825588,135.4793895,,,,,,,上段の写真：明治初年撮影・中段の写真：平成23年撮影 ◇◇ 明治初年の大阪開港とともに、安治川左岸に河港の川口波止場と川口運上所・外務局・伝信局などが設けられ、上流側に外国貿易商館などが集まる川口居留地が建設された。大阪の文明開化はここから始まった。しかし、川口波止場は水深が浅く大型船の出入りが困難であったために、居留地の外国商人たちはしだいに神戸に移り、そのあとにキリスト教各派の宣教師が定住し教会・学校・病院などを創設したが、それら施設は天王寺区や阿倍野区等に移転した。居留地は明治32年に廃止された。のち、運上所は税関と改称し、現在は大阪税関富島出張所となり、そのほか港湾上屋などが建っている。,,,,,川口波止場,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,堂島川北岸の控訴院,ドウジマガワホクガンノコウソイン,,,北区西天満2丁目1,,34.6956099,135.5044302,,,,,,,上段の写真：明治34年(1901)頃撮影・中段の写真：平成23年撮影・下段の写真：昭和17年撮影 ◇◇ 堂島川沿いに建つ壮麗な建物は、明治33年3月に竣工した2代目大阪控訴院である。明治23年建築の前庁舎が火災で焼失して再建されたものだが、この庁舎も明治42年の北の大火で再び焼失してしまう。このため大正5年に、中央に高塔をもったルネサンス風煉瓦造3階建の大阪控訴院庁舎が再建され、赤レンガと呼ばれて長く親しまれた。のち建替えられることになり、昭和49年に、前庭を大きくとった現在の鉄骨鉄筋コンクリート造11階建の、大阪高等・地方・家庭裁判所合同庁舎が完成した。,,,,,堂島川北岸の控訴院,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,旧大阪府庁舎,キュウオオサカフチョウシャ,,,西区江之子島2丁目1,,34.6821104,135.4842128,,,,,,,上段の写真：大正5年(1916)頃撮影・中段の写真：平成23年撮影 ◇◇ 明治7年7月、木津川東岸の江之子島に完成した大阪府庁舎は、煉瓦造石灰モルタル塗り2階建の威風堂々たる洋風建築で、「江之子島政府」とも呼ばれた。市制発足当初の大阪市の事務もここで行われ、大正5年両翼が増築された。大正15年、府庁舎が大手前に移転した後は、府立工業奨励館となり、昭和20年戦災でほとんどが焼失した。再建されたのち、昭和48年工業技術研究所、同62年産業技術総合研究所と改称、平成8年和泉市に移転された。跡地は、事業コンペにより売却されマンションの工事中で、旧府庁舎の遺構は一部保存することとされている。また、手前右の旧産技研の施設には府立江之子島文化芸術創造センターが開設。,,,,,旧大阪府庁舎,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,江之子島の初代市庁舎,エノコジマノショダイシチョウシャ,,,西区江之子島1丁目9,,34.6830907,135.4841387,,,,,,,上段の写真：明治32年(1899)撮影・中段の写真：平成23年撮影 ◇◇ 明治22年の大阪市発足後も、市制特例によって業務は大阪府知事が執行していたが、市制特例廃止に伴い、明治32年12月、府庁舎の北に初代の大阪市庁舎が建設された。木造2階建て建坪250坪(830平方メートル)の仮庁舎であったが、市役所が府庁舎を離れて独立した意義は大きかった。その後も、財政難から本格的な庁舎は見送られるが、明治45年、堂島に木造庁舎を建築して移転した。跡地には、現在マツダ㈱の営業施設併設の14階建マンションが建っている。,,,,,江之子島の初代市庁舎,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,堂島の2代目市庁舎,ドウジマノニダイメシチョウシャ,,,北区堂島3丁目1,,34.6958832,135.4917296,,,,,,,"上段の写真：明治45年(1912)撮影・中段の写真：平成23年撮影 ◇◇ 明治45年5月、堂島浜通に竣工した2代目市庁舎。財政難から木造2階建ての仮庁舎で、延坪は1,633坪(5,398平方m)、初めて市会議事堂を備えた。その後、大正10年に、ようやく本格的な市庁舎が中之島に建設されて移転した。跡地には、昭和2年に鉄筋コンクリート造4階建の大阪中央電話局が建築される。のち大阪市外電話局となり、現在は、8階建のNTTテレパーク堂島第1ビルとなっている。",,,,,堂島の2代目市庁舎,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,桜の宮水源地,サクラノミヤスイゲンチ,,,都島区中野町5丁目　,,34.7073843,135.5203008,,,,,,,上段の写真：明治28年(1895)撮影・中段の写真：平成23年撮影・下段の写真：昭和17年撮影 ◇◇ 大川西岸から、創設当時の桜の宮水源地を眺望。堤防下にあった取水口は現在も保存されている。明治28年、大川沿いに桜の宮水源地が完成し、大阪市の水道が創設された。のち、大正3年に新淀川沿いに柴島水源地が完成、桜の宮水源地は廃止されて、跡地には、市電都島車庫(大正11年)、官設鉄道淀川貨物駅(昭和2年)が開設された。その後、市電車庫は昭和44年、貨物駅は昭和57年に廃止となる。貨物駅跡地は、設計競技による桜之宮中野地区都市型集合住宅プロジェクト開発によって、12～41階建の高層住宅群が平成4年に完成、市電車庫跡地には大阪市総合医療センターが平成5年に開設した。,,,,,桜の宮水源地,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,津守下水処理場,ツモリゲスイショリジョウ,,,西成区津守2丁目7,,34.6427322,135.4820346,,,,,,,上段の写真：昭和15年(1940)撮影・中段の写真：平成23年撮影・下段の写真：昭和17年撮影 ◇◇ 市岡実験処理場の成果を基礎に、昭和6年、急を要する都心部を対象に都市計画下水処理事業に着手し、昭和15年、中部の津守下水処理場と北部の海老江下水処理場が完成した。これによって、それまで下水管で直接河川に放流していた下水が、浄化処理したうえで河川に放流されることになった。最近では、PFI(民間資金・技術力等活用)事業により、下水汚泥の処理過程で発生する消化ガスを燃料として発電を行い、処理場の使用電力の一部にあてたり、場内の緑化などの取り組みも進めている。,,,,,津守下水処理場,,,,,,文化・観光/大阪の昔と今
271004,,大阪府,大阪市,築港大桟橋,チッコウオオサンバシ,,,港区海岸通1丁目5,,34.6512904,135.4277739,,,,,,,上段の写真：明治36年(1903)頃撮影・中段の写真：平成23年撮影・下段の写真：昭和17年撮影 ◇◇ 大阪港の築港大桟橋は長さ454mで、明治36年8月に供用開始した。当初は思うように利用が伸びなかったが、大正期には第1次世界大戦景気で貿易が進展し、大大阪の発展に大きく貢献する。昭和9年の室戸台風で大破し、その後波除堤が築造され、昭和19年に、大桟橋に代わり長さ350mの中央突堤が完成するものの、戦災や地震・高潮で壊滅的な被害を受ける。復旧後の中央突堤にのちに設けられたハーバーレーダーも今はなく、平成9年に大阪港咲洲トンネル出入口が設けられている。いまは中央突堤から見る夕陽の美しさが有名で、少し北側の水面には、コペンハーゲン港との文化交流の一環で贈られたマーメイド像が設置されている。,,,,,築港大桟橋,,,,,,文化・観光/大阪の昔と今
