都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,説明,電話番号
402052,福岡県,飯塚市,いいづか雛のまつり(旧伊藤伝右衛門邸),イイヅカヒナノマツリ,飯塚市幸袋300番地,33.66161216,130.6866608,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(嘉穂劇場),イイヅカヒナノマツリ,飯塚市飯塚5-23,33.63646774,130.6871359,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(麻生大浦荘),イイヅカヒナノマツリ,飯塚市立岩1060番地,33.64479381,130.6987429,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(飯塚市歴史資料館),イイヅカヒナノマツリ,飯塚市柏の森959番地の1,33.64294192,130.6967325,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(本町商店街),イイヅカヒナノマツリ,本町商店街,33.63952211,130.6848117,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(東町商店街),イイヅカヒナノマツリ,東町商店街,33.63595969,130.685517,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(昭和通り商店街),イイヅカヒナノマツリ,昭和通り商店街,33.64299025,130.6919187,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(吉原町商店街),イイヅカヒナノマツリ,吉原町商店街,33.64126609,130.6858992,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(新飯塚商店街),イイヅカヒナノマツリ,新飯塚商店街,33.64299025,130.6919187,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(飯塚信用金庫),イイヅカヒナノマツリ,飯塚市本町11番42号,33.63841607,130.6859973,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(千鳥屋本家),イイヅカヒナノマツリ,飯塚市本町4-21 ,33.63802885,130.686619,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(ひよ子本舗吉野堂 飯塚店),イイヅカヒナノマツリ,飯塚市本町15−1,33.63940138,130.6846378,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(さかえ屋本店),イイヅカヒナノマツリ,飯塚市堀池128-1,33.62714526,130.6834073,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(内野宿),イイヅカヒナノマツリ,飯塚市内野3313番地,33.53700826,130.6384433,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(旧松喜醤油屋),イイヅカヒナノマツリ,飯塚市勢田730,33.68671357,130.7243784,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(天道商店街),イイヅカヒナノマツリ,天道商店街,33.60445967,130.6766204,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか雛のまつり(庄内ハーモニー),イイヅカヒナノマツリ,飯塚市綱分771-1,33.6377202,130.7291767,期間中は旧伊藤伝右衛門邸、麻生大浦荘、嘉穂劇場、千鳥屋本家での特別展示をはじめ、飯塚の各施設や商店街で様々な展示や催しが行われる,0948-55-2200
402052,福岡県,飯塚市,いいづか桜灯in鳥羽公園,イイヅカサクラビイントバコウエン,飯塚市有井,33.64094496,130.7216759,桜が満開に咲くころ、鳥羽公園が約３，０００個のキャンドルで美しくも幻想的な雰囲気に包まれます。,0948-82-3155
402052,福岡県,飯塚市,大将陣公園桜まつり,タイショウジンコウエンサクラマツリ,飯塚市楽市1-14,33.60618251,130.6804768,桜の名所として有名な大将陣公園で開かれる桜まつり,0948-22-5382
402052,福岡県,飯塚市,かち歩き大会,カチアルキタイカイ,飯塚市若菜256番地105,33.62993174,130.6713943,コダイム・内野宿など、地域の宝物を見てマイペースで楽しみながらの健康づくり。長崎街道・シュガーロードにちなんでお菓子文化の発祥の地でスイーツポイントに立ち寄り、お菓子を楽しむなど色々なコースが選べます。,
402052,福岡県,飯塚市,飯塚新人音楽コンクール,イイヅカシンジンオンガクコンクール,飯塚市飯塚14番66号,33.63618996,130.6842337,世界で活躍できる音楽家を目指し本選出場の枠を争います。,0948-22-3274
402052,福岡県,飯塚市,筑前人形感謝祭,チクゼンニンギョウカンシャサイ,福岡県飯塚市宮町2-3 ,33.64088658,130.6837101,長年愛用した人形やぬいぐるみに別れを告げて供養する「筑前人形感謝祭」は、5月第2日曜日に、飯塚市宮町の曩祖（のうそ）八幡宮で行われます。,0948-22-0511
402052,福岡県,飯塚市,飯塚国際車いすテニス大会,イイヅカコクサイクルマイステニスタイカイ,飯塚市仁保8-30,33.65709194,130.7429053,国際テニス連盟（ＩＴＦ）から全米オープンなど世界四大大会に次ぐスーパーシリーズ（ＳＳ）に格付けされているアジア最高峰の車いすテニス大会,0948-25-7144
402052,福岡県,飯塚市,飯塚観光子ども山笠大会,イイヅカカンコウコドモヤマカサタイカイ,市内各所,33.6402391,130.6867923,可愛らしい締め込み姿の子供たちが、元気な掛け声とともに街中を駆け抜けます,0948-22-3511
402052,福岡県,飯塚市,飯塚山笠,イイヅカヤマカサ,市内各所,33.64111679,130.6838909," 飯塚山笠は享保年間に始まったと云われており、約3,000人とも云われる男衆が水法被に身を包み沿道からの勢い水を全身に浴びながら街中を疾走します。",0948-23-0404
402052,福岡県,飯塚市,飯塚納涼花火大会,イイヅカノウリョウハナビタイカイ,遠賀川中の島,33.64295694,130.6877341,"毎年９万人が訪れる恒例の花火大会。全長約400ｍのナイアガラの滝を始め、約6,000発の花火が夜空に花咲きます",0948-22-1007
402052,福岡県,飯塚市,全国座長大会,ゼンコクザリョウタイカイ,飯塚市飯塚5-23,33.63646774,130.6871359,飯塚市の芝居小屋・嘉穂劇場で開かれる「全国座長大会」は、1979年より毎年9月、玄海竜二を中心としたお芝居と30名余りの各地の大衆演劇の座長が競演する舞踊ショー。,0948-22-0266
402052,福岡県,飯塚市,大分八幡放生会,ダイブハチマンホウソウカイ,飯塚市大分1281,33.58458549,130.6260265, 大分八幡宮の秋の大祭である放生会では、流鏑馬や獅子舞が奉納される,0948-72-0621
402052,福岡県,飯塚市,綱分八幡宮放生会御神幸祭,ツナワキハチマングウホウセイカイゴシンコウサイ,飯塚市綱分866-1,33.6359172,130.7321892,綱分八幡宮で隔年毎に10月に行われる御神幸祭で、神楽・獅子舞・稚児舞・流鏑馬が奉納されています。,0948-82-2069
402052,福岡県,飯塚市,筑前の國いいづか街道まつり,チクゼンノクニイイヅカカイドウマツリ,中心商店街界隈,33.63952211,130.6848151,祭りでは、恒例の時代仮装行列をはじめ、ステージライブ、ストリートダンス、飲食・物販のバザーコーナーなど多彩な催しが繰り広げられます。,0948-22-5500
402052,福岡県,飯塚市,まちなかイルミネーション大作戦,マチナカイルミネーションダイサクセン,飯塚市緑道公園全域,33.6410375,130.6848665,飯塚緑道公園（千鳥屋本家横〜片島まで約６６０メートル）がイルミネーションでライトアップされます。,
402052,福岡県,飯塚市,永昌会,エイショウカイ,飯塚市中心商店街（本町・東町・昭和通・吉原町・新飯塚）,33.6395221,130.6848082,明治初期より続く年末の名物イベントです。,0948-29-2110
402052,福岡県,飯塚市,飯塚十日恵比須祭り,イイヅカトオカエビスマツリ,飯塚市本町14-6,33.63800134,130.6846678,商売繁盛や家内安全を願う「十日えびす祭」では、今年の幸運を祈願する神事の後に、縁起物が当たる恒例の福引き大会があり、商店主や買い物客で賑わいます。,0948-22-6965
402052,福岡県,飯塚市,筑前飯塚・地産大豆de節分まつり,チクゼンイイヅカチサンダイズデセツブンマツリ,飯塚市飯塚14番66号,33.63618996,130.6842337,地元産の大豆を使った豆まき大会,0948-22-5522
402052,福岡県,飯塚市,千鳥屋本家,チドリヤホンケ,飯塚市本町4番21号,33.63802885,130.686619,寛永7年創業。千鳥饅頭・チロリアンが有名。本町本店裏に喫茶室・展示ルームを併設。P有（大型バス可）見学希望の方は要事前連絡。,0120-22-0831
402052,福岡県,飯塚市,ひよ子,ヒヨコ,飯塚市本町１５−１,33.63940138,130.6846378,飯塚発祥の「名菓ひよ子」は、飯塚から福岡へ、東京から全国へ知れ渡り多くの人に愛されています。穂波工場は見学可（0948-23-0745),0948-22-0145
402052,福岡県,飯塚市,さかえ屋,サカエヤ,飯塚市堀池128-1,33.62714526,130.6834073,本店は長崎街道沿いの築約80年の古い建物を移築し、カフェスペースを併設。本店限定のお菓子や地元にちなんだ特色あるお菓子も沢山あります。P有（大型バス可）,0948-26-0111
402052,福岡県,飯塚市,ふたせ饅頭本舗,フタセマンジュウホンポ,飯塚市伊岐須295-13,33.65212339,130.6660668,大正の末期に先代の山本トミキ(筑前の秋月の出身)が「秋月堂」の屋号で菓子製造・販売を営んだのが始まり。昭和7年に二瀬町が発足、屋号も「二瀬饅頭本舗」と改め、炭鉱産業の隆盛と共に当店の礎を築く。 創業当時と変わらずもない味を守っています。,0948-22-1384
402052,福岡県,飯塚市,亀屋延永,カメヤノブナガ,飯塚市忠隈77-34,33.62384508,130.6894974,商品の味、形、昔ながらの良さを大切に　昭和２５年来作り続けております。,0948-25-6771
402052,福岡県,飯塚市,筑豊製菓直売所,チキホウセイカチョクバイジョ,飯塚市津島408-1,33.67312741,130.6807432,「まごころこめて」総合菓子メーカーの筑豊製菓。1955年11月サクラ飴本舗を開業し、1974年11月に筑豊製菓株式会社を設立。2013年2月には高級和菓子「菓匠むら里」ブランド立ち上げ、博多座出店。   ,0948-22-7349
402052,福岡県,飯塚市,羊羹工房渕上,ヨウカンコウボウフチガミ,飯塚市大日寺1114,33.63764779,130.6406073,開業１７年。店主は餡子づくり１６年のベテラン。素材の味を大切にしたい想いは今なお変わらず、原料にこだわるだけでなく、豆を仕込む前日に地元の名水を汲みに行ったり、季節や温度や湿度などの環境に対してそのつど微調整をしたり、手間ひま惜しまず作っています。,0948-22-2415
402052,福岡県,飯塚市,酒まんじゅうの香月屋,サケマンジュウノカヅキヤ,飯塚市本町8-18,33.63904131,130.6855437,飯塚本町商店街の路地を入ったところにある、生地を天然酵母だけで作る全国でもめずらしいおまんじゅう屋さんです。もちもちとした柔らかな食感が特徴で、売り切れ注意の大人気の酒まんじゅうです。 ,0948-22-2323
402052,福岡県,飯塚市,ミュージアムショップ白蓮,ミュージアムショップビャクレン,飯塚市幸袋３００,33.66161216,130.6866608,旧伊藤伝右衛門邸の敷地内にあるミュージアムショップ。柳原白蓮に関する著作物をはじめ、飯塚の特産品の販売を行ってます。,0948-22-4466
402052,福岡県,飯塚市,藍ありまつ・歌人白蓮想,アイアリマツ カジンビャクレンソウ,飯塚市飯塚11-20,33.6367958,130.6855473,柳原白蓮の魅力を紹介する展示館。自筆の短歌・短冊や色紙など約200点を展示の他、村岡花子や北原白秋の書籍や資料もあります。,0948-22-1738
402052,福岡県,飯塚市,庄四季物,ショウジキモン,福岡県飯塚市綱分769‐1,33.63832671,130.7286633,「飯塚市庄内で採れた四季の物を表示に偽りなく正直に提供する」野菜などの地元野菜の他にも弁当や惣菜、こだわり豆腐、ふきの粕漬が好評。駐車場も広い。,0948-82-0117
402052,福岡県,飯塚市,JAふくおか嘉穂（ふれあい市穂波店）,ジェイエイフクオカカホ,飯塚市椿199番地1,33.61892553,130.6624353,地元農家の方々が、丹精込めて育てた採れたての地元ブランドの農産物を新鮮なまま販売しています。,0948-21-6088
402052,福岡県,飯塚市,JAふくおか嘉穂（ふれあい市飯塚店）,ジェイエイフクオカカホ,飯塚市川津422番地,33.64717215,130.6752364,地元農家の方々が、丹精込めて育てた採れたての地元ブランドの農産物を新鮮なまま販売しています。,0948-22-5685
402052,福岡県,飯塚市,瑞穂菊酒造,ミズホギクシュゾウ,飯塚市天道375,33.60391414,130.6757858,明治元年に創業して以来140年、品質本意をモットーに伝統産業としての誇りを忘れず造り続けております。蔵元自ら杜氏を努め手造りで真心こめた日本酒造りに精進しております。地元の米で、地元の自然の恵みに育てられた正真正銘の“地酒造り”もモットーです。,0948-22-1050
402052,福岡県,飯塚市,のがみプレジデントホテル,ノガミプレジデントホテル,飯塚市新立岩12番37号,33.6456255,130.6902706,飯塚市役所隣接の伝統あるホテル。ホテル内には、３つの個性豊かなレストランをご用意。ワンランク上のホスピタリティをお約束します。駐車場有。,0948-22-3840
402052,福岡県,飯塚市,ビジネスホテル・センチュリー,ビジネスホテル センチュリー,飯塚市新飯塚９−１１,33.64269636,130.6927745,新飯塚駅より徒歩2分、ビジネスや観光の拠点に便利。1階には郵便局を併設。全40室。シングル・ダブル・ツイン・和室の4タイプあり1人旅から団体まで対応可。,0948-29-2515
402052,福岡県,飯塚市,新飯塚ステーションホテル,シンイイヅカステーションホテル,飯塚市芳雄町４−２０,33.64142443,130.6931226,JR新飯塚駅より徒歩5分、博多駅より快速４５分。レンガ色の空間に流れるゆったりとした時間。快適なくつろぎと、心地よい眠りを。全168室。全部屋シモンズベッド採用。,0948-26-1300
402052,福岡県,飯塚市,ホテルニューガイア飯塚,ホテルニューガイアイイヅカ,飯塚市吉原町7-24,33.64069353,130.6867903,2014年11月に「飯塚ロイヤルホテル」から「ホテルニューガイア飯塚」へ名称が変更。飯塚バスセンター近く「飯塚・吉原町」に位置する絶好のビジネスロケーション。繁華街にもアクセス便利です。,0948-26-2500
402052,福岡県,飯塚市,ビジネスホテル ニューいいづか,ビジネルホテルニューイイヅカ,飯塚市横田５８５−１,33.64113019,130.6669101,室内は広々ゆったりスペース、各部屋とも浴室・トイレは個別に備え、無料駐車場有。朝食（簡単な和食）サービス有。,0948-22-0066
402052,福岡県,飯塚市,あけぼの館,アケボノカン,飯塚市新飯塚６−１４,33.6435991,130.6928792,JR新飯塚駅より徒歩2分。アットホームな雰囲気でお出迎え致します。長期滞在歓迎。,0948-22-1708
402052,福岡県,飯塚市,ビジネスホテル大和屋,ビジネスホテルヤマトヤ,飯塚市新飯塚５−１３,33.64447858,130.6926933,家庭的な雰囲気で泊まれるビジネス旅館。各部屋インターネット対応。JR新飯塚駅より徒歩2分。長期滞在の方、ご予算相談可。,0948-22-2544
402052,福岡県,飯塚市,庄内温泉 筑豊ハイツ,ショウナイオンセンチクホウハイツ,飯塚市仁保8-30,33.65709194,130.7429053,公営の宿泊施設。筑豊緑地公園に隣接する天然ラジウム温泉。効能は神経痛やリウマチ、動脈硬化症など。一日の疲れを癒すのにピッタリです。四季を通じて楽しめる特選宴会料理をお届けします。,0948-82-0240
402052,福岡県,飯塚市,こうの湯温泉,コウノユオンセン,飯塚市伊川８２−３３,33.64702024,130.6460406, 数千年の歳月を経てラドンの岩盤で濾過され自然の力で磨かれた神秘の水。,0948-28-4126
402052,福岡県,飯塚市,"
国立九州工業大学情報工学部",コクリツキュウシュウコウギョウダイガクジョウホウコウガクブ,飯塚市川津680-4,33.65308717,130.671517,http://www.iizuka.kyutech.ac.jp/,0948-29-7500
402052,福岡県,飯塚市,"
私立近畿大学産業理工学部",シリツキンキダイガクサンギョウリコウガクブ,飯塚市柏の森11-6,33.64513824,130.7128747,https://www.kindai.ac.jp/hose/,0948-22-5655
402052,福岡県,飯塚市,近畿大学九州短期大学,キンキダイガクキュウシュウタンキダイガク,飯塚市菰田東1-5-30,33.62864076,130.691249,http://www.kjc.kindai.ac.jp/,0948-22-5726
