都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
462250,0000000017,鹿児島県,姶良市,さえずりの森(キャンプ場) ,サエズリノモリ,,,姶良市加治木町西別府3490,,,,,,,,,,にぎやかな街中を飛び出し、静寂な「さえずりの森」の世界に遊んでみませんか。小鳥のさえずり、かじかの歌声、四季を通じて咲き乱れる草花のささやき…。耳を澄ますとあなたを待つ森林浴の息吹が聞こえてきます。また清洌な流れの宇曽ノ木渓谷、夢の世界に渡れるかじかの橋、錦江湾に浮かぶ桜島の雄姿や市街が一望できる高倉展望台など遊びどころ・見どころが盛りだくさんです。 また、平成８年度「小鳥がさえずる森づくり運動」において、環境庁自然保護局長賞を受賞している施設であり、「小鳥のさえずり」、「かじかカエルの歌声」、「四季を通じて咲き乱れる草花」、「宇曽ノ木渓谷」などの自然に恵まれた、自然観察には最高の場所です。 ,,,,,,,,,,,
462250,0000000018,鹿児島県,姶良市,姶良市歴史民俗資料館,アイラシレキシミンゾクシリョウカン,,,姶良市東餅田498番地,,,,,,,,,,"民俗コーナー・考古コーナーがあり、旧姶良町の史跡や主要施設が一目でわかる旧姶良町地形模型（1/8,300）や航空写真、地質図が展示されています。 ビデオコーナーでは、八幡神社・浜下り・田の神講などの放映があります。また、萩原遺跡・宮田ケ岡窯跡の出土品、復元された民家、帖佐松原塩田模型など数多く展示されています。 ",,,,,,,,,,,
462250,0000000019,鹿児島県,姶良市,加治木郷土館 ,カジキキョウドカン,,,姶良市加治木町仮屋町250,,,,,,,,,,薩摩焼、特に龍門司焼を収集保管し、窯跡の出土品を年代別に解説し、薩摩焼の特徴や歴史をわかりやすく紹介しています。一門家である加治木島津家に関する資料も多数収蔵しています。,,,,,,,,,,,
462250,0000000020,鹿児島県,姶良市,椋鳩十文学記念館,ムクハトジュウブンガクキネンカン,,,姶良市加治木町反土2624-1,,,,,,,,,,わが国で初めて本格的な動物文学のジャンルに取り組んだ作家・椋鳩十に関する遺品や著書を一堂に集め、児童文化の発展を願って平成２年設立されました。 年譜をはじめ写真、「マヤの一生」「ヤクザル大王」などの直筆原稿、著書、俳画、掛軸のほか、取材ノートや児童・生徒の読書感想文、児童文学関係資料など多くの遺品や資料が展示されています。,,,,,,,,,,,
462250,0000000021,鹿児島県,姶良市,武家屋敷通り,ブケヤシキドオリ ,,,姶良市蒲生町上久徳2308-1,,,,,,,,,,江戸時代、薩摩藩内では領内を113の区画に割り、それぞれに地頭仮屋を設け、その周辺に「麓（ふもと）」と呼ばれる武士集落をつくりました。旧蒲生町はこの薩摩藩独自の外城制度、薩摩古流の兵法に基づく、美しく、機能的な町割を残す県内でも数少ない地域です。 武士集落としての蒲生郷の麓は、二つの川に狭まれた地理的特徴を利用し、川を外堀として活用した町割がなされていました。麓の集落内には、計画的な町割が行われた道（西馬場、辻馬場など）が往時のまま残されており、屋敷には石垣や生垣としてイヌマキ（常緑の高木）を用いた武家門を配しています。,,,,,,,,,,,
462250,0000000022,鹿児島県,姶良市,竜ケ城磨崖梵字,リュウガジョウマガイボンジ,,,姶良市蒲生町下久徳字2562-1,,,,,,,,,,"蒲生氏の本城であった竜ヶ城（城山）の岸壁に約120メートルにわたって刻まれています。古石塔研究の権威・黒田清光氏の調査によれば、梵字の数は1,700にも及び、１ヶ所にまとめられたものとしては日本最多の磨崖梵字であるといわれます。町指定文化財です。 ",,,,,,,,,,,
462250,0000000023,鹿児島県,姶良市,和紙ギャラリー ,ワシギャラリー,,,姶良市蒲生町久末２４０９−２,,,,,,,,,,かつて蒲生町は和紙作りが盛んで、書物や日用品のほか油の濾過などにも利用されてきました。オリジナルデザインのタペストリーや暖簾、団扇などの和紙工芸品が展示・販売されているのがこの和紙ギャラリーで、和紙のぬくもりとマッチして、心が和みます。喫茶もあります。 ,,,,,,,,,,,
462250,0000000024,鹿児島県,姶良市,南浦文之和尚の墓,ブンシオショウノハカ,,,姶良市加治木町反土1814,,,,,,,,,,文之和尚は、安土桃山・江戸初期の禅僧で、島津藩の外交に貢献しました。弘治元年（1555年）日向国南郷外浦に生まれ、島津義久・義弘・家久に仕えて島津家の政治・外交に活躍しました。 鹿児島の大竜寺の開基や鎌倉の建長寺の住職も勤めましたが、朱子学に秀で漢籍の訓点を施し、後世まで「文之点」として日本儒学の発展に貢献しました。また、鉄砲伝来の様子を資料や伝承によりまとめた「鉄炮記」も著しています。 ,,,,,,,,,,,
462250,0000000025,鹿児島県,姶良市,山田の凱旋門,ヤマダガイセンモン,,,姶良市下名1187,,,,,,,,,,"明治37～38年、日露戦争に山田村（当時）から従軍した人たちの無事帰還を記念して、明治39年（1906年）３月山田村兵事会が建設した、日本では珍しい凱旋門です。上部はアーチ型に組まれ、中央にタテ60センチ、ヨコ121センチの石がはめ込まれています。 100の石段を登ると奥に招魂社があります。高さ4.7メートル、幅4.88メートルの柱には、西南の役、日清、日露、大東亜戦争の眠れる勇士1,200柱が祀ってあります。  平成13年８月28日に国の登録有形民俗文化財に登録されました。 ",,,,,,,,,,,
462250,0000000026,鹿児島県,姶良市,歴史国道 白銀坂,レキシコクドウ シラカネザカ ,,,姶良市脇元3091,,,,,,,,,,姶良市脇元から鹿児島市牟礼ヶ岡までの石畳の坂道です。 この坂のある山並みは、古代における薩摩国（旧吉田町側）と大隅国（旧姶良町側）の国境でした。 また戦国時代には島津貴久や義弘などの武将たちがこの坂に陣を構えたといわれています。   江戸時代にはいると、白銀坂は薩摩藩の主要街道として鹿児島城下から熊本へ抜ける薩摩街道「大口筋」上の難所として多くの人に知られていました。  現在約2.7キロの道のりが残っており、高低差は300メートル以上あります。中腹には「七曲り」といわれる急勾配の箇所に石畳が敷かれ、今でも昔の面影を残しています。  歴史上重要な街道として歴史国道にも指定されています。 ,,,,,,,,,,,
462250,0000000027,鹿児島県,姶良市,県民の森,ケンミンノモリ,,,姶良市北山3464-119,,,,,,,,,,姶良・溝辺・加治木の旧３町にまたがる広大な敷地の中に広がる、森林とふれあい、自然を満喫できる憩いと学びの場です。なかでも中心的施設の一つ、森林学習展示館では、森林の役割や地球環境について学ぶことができます。 そのほか、緑化センター、巨木の館をはじめキャンプ場、アスレチック、水遊びのできる「水辺の森」や自然散策コースなども整備されています。中央広場には木製の屋根付き舞台があり、イベントにも最適。売店横では、山菜蕎麦などの食事もできます。 その他、フィールドアスレチック、スーパースライダー、テニスコート、野外音楽ステージ、キャンプ場施設、ターゲットバードゴルフ、自然散策コースなど多彩な施設があります。 （県推奨森林浴の森70選：レクリエーションコース）,,,,,,,,,,,
462250,0000000028,鹿児島県,姶良市,龍門滝,リュウモンダキ,,,姶良市加治木町木田5266-1,,,,,,,,,,龍門の滝周辺の紅葉はまだですが、時間の経過によって落水の色の変化があります。   高さ46メートル、幅43メートルのこの雄大な滝は、古来から薩摩の名所とされ、「日本の滝百選」にも選ばれました（平成２年４月12日選定）。  昔、唐人がこの滝を称して「漢土の龍門の滝を見るのが如し」と言ったことから、龍門滝と呼ぶようになったと伝えられています。夜間にはライトアップされたファンタジックな姿を見ることができます。 ,,,,,,,,,,,
462250,0000000029,鹿児島県,姶良市,日本一の巨樹 蒲生の大クス ,ニホンイチノキョジュ カモウノオオクス ,,,姶良市蒲生町上久徳2259-1,,,,,,,,,,"国特別天然記念物(昭和27年指定) 蒲生八幡神社境内にそびえ立つ大楠は、樹齢約1,500年、根周り33.5メートル、目通り幹囲24.22メートル、高さ約30メートルと日本で一番大きな樹木です。  環境庁が昭和63年に実施した巨樹・巨木林調査で、正真正銘日本一に認定されています。  樹根部分には、8畳分もの大きな空洞があり、下から見上げる壮大さと、地にどっしりと根をはった力強さは、神秘的で不思議な感覚を抱かせてくれます。  近年はパワースポットとしても人気の地です。  蒲生八幡神社が建立された1123年にすでに大木であったことから考えても、樹齢千年を超える堂々たる老木です。蒲生の地を訪れた和気清麻呂が手にした杖を大地に突き刺したところ、それが根付いて大楠になったとも伝わっています。  毎年11月第３日曜日には秋まつりが開催され、太鼓演奏の音が周囲に響きわたります。",,,,,,,,,,,
462250,0000000030,鹿児島県,姶良市,帖佐八幡神社の大銀杏,チョウサハチマンジンジャノオオイチョウ,,,姶良市鍋倉1129-8,新正八幡神社境内,,,,,,,,,平山了清が弘安５年（1282年）に勧請した神社と伝えられています。大銀杏はこの社殿の前にあり、樹齢数百年といわれ、高さ14.5メートル、樹幹7.1メートル、根回り11.4メートルの大きさです。市指定天然記念物。 ,,,,,,,,,,,
462250,0000000031,鹿児島県,姶良市,天福寺磨崖仏,テンプクジマガイブツ,,,姶良市鍋倉498,,,,,,,,,,約750年前、天福年間鍋倉殿と称された加治木三郎為平によって岩壁に彫られた磨崖仏です。 天福寺の創建の由来についてはいくつかの説がありますが、伊集院忠真が慶長７年（1602年）に島津忠恒（後の家久）に殺害された後、妻のお下と娘の千鶴がその菩提を弔ったといわれています。 寺跡西側の岩壁には23体の仏像が彫られ、天福寺磨崖仏と呼ばれていますが、寺とともに明治のはじめ廃仏毀釈を受けました。現在は、風化してようやく形を残すのみとなっています。,,,,,,,,,,,
462250,0000000032,鹿児島県,姶良市,スターランドAIRA ,スターランドアイラ ,,,姶良市北山997番地16,,,,,,,,,,プラネタリウムと天文台の両方の機能を併せ持ち、星や宇宙に親しめる体験施設 です。宇宙とのふれあいをテーマに、１階はドーム状の多目的スペース、２階が  プラネタリウムになっています。 プラネタリウム（約30分）では、季節に応じたオリジナル番組を投影しています。  ３階の観測室では、口径40センチメートルのカセグレン式天体望遠鏡が設置され、  毎週土・日曜日には観測会を開いています。また、観測室の隣の「星空広場」では、 クッションシートに寝転がり、流れ星や季節の星座などを楽しめます。 ,,,,,,,,,,,
462250,0000000033,鹿児島県,姶良市,住吉池公園,スミヨシイケコウエン,,,姶良市蒲生町上久徳890-1,,,,,,,,,,春は桜の名所として親しまれている住吉池公園キャンプ場は、キャンプシーズンの夏になると、アウトドアライフを楽しむ家族連れやグループで賑わいます。周囲４キロ、深さ30メートルで、青藍の水面には緑樹が映え、千古の神秘をたたえている住吉池の湖畔にあり、利用しやすい低料金システムがうれしいキャンプ村です。  住吉池では無料でブラックバスやブルーギルなどの釣りができ、また巨大な鯉が生息するともいわれています。小鳥のさえずりを聞きながら、静かな自然に囲まれた湖畔でのんびりできるキャンプ場です。 ,,,,,,,,,,,
462250,0000000034,鹿児島県,姶良市,城山公園,シロヤマコウエン,,,姶良市蒲生町久末3459-4,,,,,,,,,,"蒲生城跡を公園にしたもので、岩壁に日本最多と言われる1,700字の竜ケ城磨崖梵字群があります。３月下旬～４月上旬には桜200本が咲く、花見の名所でもあります。 蒲生城は蒲生氏の居城で標高160メートルの竜ヶ山にあり、竜が伏したような地形をしていたことから「竜ヶ城」とも呼ばれています。 保安年間（1120～24）、蒲生舜清によって築かれた平山城で、建昌、帖佐、北村、吉田、岩剣、山田、松坂などの支城を備えた県下有数の山城でした。18代範清まで蒲生氏が治めましたが、1557年に島津貴久に攻められ焼失しました。郭、空堀、土塁、門などが残されています。 ",,,,,,,,,,,
462250,0000000035,鹿児島県,姶良市,蒲生八幡神社,カモウハチマンジンジャ,,,姶良市蒲生町上久徳2259-1,,,,,,,,,,蒲生八幡神社は、蒲生家初代の上総介舜清が、保安４年（1123年）宇佐八幡宮を勧請して、現在地に建立したものです。島津義弘公は当社を厚く崇敬し、社殿を再興して、正八幡若宮の額を掲げ、太刀・甲冑・宝器を寄進したと言われています。  旧県社で社宝の銅製秋草双雀文様鏡は国の重文です。境内に日本一の大楠があります。 ,,,,,,,,,,,
462250,0000000036,鹿児島県,姶良市,桜公園,サクラコウエン,,,姶良市鍋倉1105-1,,,,,,,,,,帖佐新正八幡神社の前方にある公園。花見時には大勢の人で賑わう。姶良の街、鹿児島湾、桜島と見わたせるスポット。米山薬師からは尾根伝いになっており、絶好のハイキングコースです。,,,,,,,,,,,
462250,0000000037,鹿児島県,姶良市,高岡公園,タカオカコウエン ,,,姶良市加治木町西別府2944番地,,,,,,,,,,加治木市街地の北方約２キロに位置する標高155メートルの台地にあり、市街地、錦江湾を一望に見わたす絶景の地で、古くから町民の憩いの場として親しまれてきたところです。また３月20日前後から５月６日前後まで花見用に夜間照明を設置してあり、桜の名所となっています。,,,,,,,,,,,
462250,0000000038,鹿児島県,姶良市,網掛川公園,アミカケガワコウエン,,,姶良市加治木町本町234,,,,,,,,,,全長約200ｍの川沿いの公園。桜のシーズンは夜間ライトアップされ夜桜を見ることができます。,,,,,,,,,,,
462250,0000000039,鹿児島県,姶良市,宋艸窯,ソウソウガマ,,,姶良市平松5922,,,,,,,,,,竹之内彬裕さん、琢さん親子で作陶している窯元。  天草の赤土をメインに独自のブレンドの土を使い、模様はシンプルな凸凹のみ。  白（粉引）、わら白、マット赤、紺のそれぞれの釉薬が見せる表情の違いが特徴。,,,,,,,,,,,
462250,0000000040,鹿児島県,姶良市,紅窯,クレナイガマ ,,,姶良市池島町5-13,,,,,,,,,,川原義昭さんが作陶する窯元。 ギャラリーの中には、かわいい魚の絵が描かれた陶器がいっぱい。  「食卓が楽しくなるような陶器を」とのこと。 ,,,,,,,,,,,
462250,0000000041,鹿児島県,姶良市,三蔵窯,サンゾウガマ,,,姶良市姶良市平松5757,,,,,,,,,,ご来店の際は、あらかじめお電話ください。0995-65-2748,,,,,,,,,,,
462250,0000000042,鹿児島県,姶良市,白金酒造,シラカネシュゾウ,,,姶良市脇元1933,,,,,,,,,,現在、県内には113の酒蔵がありますが、白金酒造の焼酎蔵は現存するものとしては最も古く、国の登録有形文化財にも指定されています。  国登録有形文化財は市内に６つあり、そのうちのひとつが白金酒造の焼酎蔵です。 ,,,,,,,,,,,
462250,0000000043,鹿児島県,姶良市,龍門司焼次郎太窯,リュウモンジヤキジロウタガマ,,,姶良市加治木町小山田6096-2,,,,,,,,,,"慶長三年（1598年）島津義弘が朝鮮の役を終え朝鮮人陶工を連れ帰りました。その中の１人であった芳仲は加治木で龍口坂窯を開きました、これが龍門司焼の原点とされています。  約四百年の歴史を誇る龍門司焼は多彩な釉薬・技法を用いる窯で特に釉薬の調合は一子相伝により受け継がれております。 その中でも昭和３９年、龍門司三彩が県の無形文化財に指定され、11代・川原軍次が陶業界第壱号の技術保持者として認定され昭和45年に現代の名工に選ばれました。その後、釉薬調合は,、龍門司焼12代陶工　川原輝夫だけに引き継がれ現在、次郎太窯で守られております。",,,,,,,,,,,
462250,0000000044,鹿児島県,姶良市,龍門司焼企業組合,リュウモンジヤキキギョウクミアイ,,,姶良市姶良市加治木町小山田5940,,,,,,,,,,龍門司焼は、約三百年前の文禄・慶長の朝鮮役から、藩主島津義弘公が連れて帰った朝鮮人陶工山元碗右エ門により開窯されました。芳工、芳寿など多くの陶工の手を経て、現在に引き継がれています。古帖佐焼の流れを汲む民窯で、花瓶、黒ぢょか、からから、茶器、皿、食器、鉢類など使いよい日用雑器があります。 特色ある渋い飴、黒釉、あざやかな色調の三彩、珍しい鮫肌や貫入、蛇蝎、ドンコ釉、玉流しなど、日本でも珍しい多種多様な天然釉が施され、素朴ながらも優美な品格を持った焼物です。現在、３名の陶工が年８回、大きな登り窯を焼いています。 ,,,,,,,,,,,
462250,0000000045,鹿児島県,姶良市,姶良市温泉センター「くすの湯」,アイラシオンセンセンター「クスノユ」,,,姶良市蒲生町白男1504,,,,,,,,,,姶良市温泉センター「くすの湯」は、お客さま一人ひとりが自宅のお風呂では得られない豊かなバスタイムを実感できるよう、清潔感に溢れ、プライバシーに配慮した温泉に生まれ変わりました。   生まれ変わったくすの湯は、新しい源泉からの温泉を使用しており、泉質は「ナトリウム-塩化物温泉（高張性・中性・高温泉）」といわれるもので、一般的な温泉の効能以外としては、きりきず、抹消循環障害、冷え性、うつ状態、皮膚乾燥症などにいいとされ、保温効果の高い「熱の湯」とも呼ばれ、特に寒い時期に適した泉質だといわれています。  また、泉質にある「高張性」とは、温泉濃度が高い（＝濃い）温泉として分類され、浸透圧が大きく、温泉成分が体内に入りこむ割合が多いといわれています。くすの湯の温泉のように塩分濃度が濃い高張性の温泉は、古代の湯（古代湯）、化石海水などとも呼ばれ、古代の海水などが何千年という時間を経て濃縮された温泉が多い傾向にある貴重な温泉であるといわれています。 ,,,,,,,,,,,
