許可番号,営業の種類,営業者氏名,営業所所在地,営業所方書,営業所電話番号,営業所名称_カナ,営業所名称_1,営業所名称_2,許可年月日,許可満了日
第032-000296号,乳類販売業,ワタミ株式会社,薩摩川内市永利町２５４０−３,,,ワタミ　カゴシマセンダイエイギョウショ,ワタミ株式会社　鹿児島川内営業所,,令和2年9月25日,令和8年10月31日
第032-000247号,菓子製造業,有限会社井手青果,出水郡長島町川床４４４７,第一工場,0996-87-0593  ,イデセイカ,有限会社井手青果,,令和2年9月14日,令和8年10月31日
第032-000248号,菓子製造業,磯塚　重男,出水市高尾野町大久保６６５０−３７,,0996-82-3877  ,ショクジトコロサクラ,食事処　さくら,,令和2年9月14日,令和8年10月31日
第032-000250号,飲食店営業（その他）,西　佳代子,出水市本町９−２６,壺ビル１Ｆ,0996-79-3524  ,ラウンジクロス,ラウンジ　ＣＲＯＳＳ,,令和2年9月24日,令和8年10月31日
第032-000249号,飲食店営業（その他）,町田　伸一,出水市本町９−１１,橘ビル１Ｆ奥,,エス,Ｓ,,令和2年9月16日,令和8年10月31日
第032-000252号,飲食店営業（その他）,合同会社ライズテック,出水市六月田町５６０,,0996-68-8855  ,ハカタカラアゲヒビキ,博多からあげ響,,令和2年9月28日,令和8年10月31日
第032-000253号,飲食店営業（仕出し屋・弁当屋）,株式会社グランドグロウ,出水市六月田町５６０,,099-679-3344  ,パンコウボウマダムブレッドマーケット,パン工房マダムブレッドマーケット　madam bread market,,令和2年9月28日,令和8年10月31日
第032-000254号,菓子製造業,株式会社グランドグロウ,出水市六月田町５６０,,099-679-3344  ,パンコウボウマダムブレッドマーケット,パン工房マダムブレッドマーケット　madam bread market,,令和2年9月28日,令和8年10月31日
第032-000256号,乳類販売業,ワタミ株式会社,出水市高尾野町下水流２０２３−１,,,ワタミ　カゴシマイズミ,ワタミ株式会社　鹿児島出水営業所,,令和2年9月30日,令和8年10月31日
第032-000074号,飲食店営業（その他）,有限会社  ファミリー企画,伊佐市大口里８０５−６,,0995-22-9488  ,スキャンダル,スナック  スキャンダル,,令和2年9月1日,令和8年10月31日
第032-000075号,そうざい製造業,株式会社　シャッツフードカンパニー,伊佐市大口上町34−8,,0995-22-2256  ,アブリヤキイザカヤ　ダルマ,炙り焼き居酒屋　達磨,,令和2年9月1日,令和8年10月31日
第032-000076号,菓子製造業,水落  美穂,伊佐市菱刈荒田３１１３−２,,0995-26-5775  ,ワン,ｏｎｅ,,令和2年9月29日,令和8年10月31日
第032-000077号,そうざい製造業,水落  美穂,伊佐市菱刈荒田３１１３−２,,0995-26-5775  ,ワン,ｏｎｅ,,令和2年9月29日,令和8年10月31日
第032-000480号,飲食店営業（その他）,上薗　佳代子,霧島市国分中央３−１２−５４,松田ビル,050-3740-7160 ,ナナイチロクキリシマ,７１６　きりしま,,令和2年9月1日,令和8年10月31日
第032-000481号,飲食店営業（仕出し屋・弁当屋）,住吉　健一,姶良市西餠田３７８６−２４,,,オバンザイ,ＯＢＡＮＺＡＩ,,令和2年9月1日,令和8年10月31日
第032-000482号,飲食店営業（その他）,井上　恵美子,霧島市国分中央３−３４−２−１,第３Ｒ＆Ｍビル２Ｆ Ｂ,,スナックシロイトビラ,スナック　白い扉,,令和2年9月1日,令和8年10月31日
第032-000484号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,藤田　亜美,霧島市国分広瀬３−１３−２９,,,ユウゼン　カン,遊膳　感−ＫＡＮ−,,令和2年9月3日,令和8年10月31日
第032-000485号,飲食店営業（その他）,濱田　富美,霧島市国分中央３−８−１６,日匠テナント２Ｆ　Ａ号,,スナックフミ,スナック　２３,,令和2年9月3日,令和8年10月31日
第032-000486号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,西洋フード・コンパスグループ株式会社,霧島市国分野口北５−１,,,ソニーカゴシマテックジギョウショ,ソニー鹿児島ＴＥＣ事業所,,令和2年9月3日,令和8年10月31日
第032-000487号,飲食店営業（その他）,麓　仁一郎,姶良市東餠田３７４５−８,,,ハレルヤアコスティクス,ハレルヤ・アコスティクス,,令和2年9月3日,令和8年10月31日
第032-000488号,菓子製造業,株式会社レント企画,霧島市国分新町１−３１−６０−１６,協栄ハイム１ー１０１,,タピオカヤサン,タピオカ屋さん,,令和2年9月3日,令和8年10月31日
第032-000489号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社鹿児島なべしま,姶良市加治木町木田２０４７−１,,0995-63-5517  ,ヤキニクナベシマカジキテン,焼肉なべしま加治木店,,令和2年9月7日,令和8年10月31日
第032-000491号,そうざい製造業,農業生産法人そのやま農園株式会社,姶良市東餠田３９９−１１,,0995-55-1694  ,ノウエンレストランモリノカゾクアイラキッチン,農園レストラン　森のかぞく　Ａｉｒａ　Ｋｉｔｃｈｅｎ,,令和2年9月9日,令和8年10月31日
第032-000492号,飲食店営業（その他）,溝口　千里,霧島市国分中央３−７−２２,ラベンダービル５階　５０２,,マイキー,ｍｙ　ＫＥＹ,,令和2年9月10日,令和8年10月31日
第032-000493号,食肉販売業,合同会社　Ｃｏｎｎｅｃｔｉｏｎ,姶良市西餠田３５５１−１,,,ゴウドウカイシャコネクション,合同会社Ｃｏｎｎｅｃｔｉｏｎ,,令和2年9月15日,令和8年10月31日
第032-000494号,飲食店営業（その他）,山元　ともみ,霧島市国分中央３−９−６　平田ビル２Ｆ,,,ムーンリバー,ムーンリバー,,令和2年9月16日,令和8年10月31日
第032-000495号,食肉販売業,株式会社　横福,霧島市横川町中ノ３２３２−１,,,カブシキカイシャヨコフクサツマノカオリノウエン,株式会社横福　薩摩の薫農園,,令和2年9月17日,令和8年10月31日
第032-000496号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社　横福,霧島市横川町中ノ３２３２−１,,,カブシキカイシャヨコフクサツマノカオリノウエン,株式会社横福　薩摩の薫農園,,令和2年9月17日,令和8年10月31日
第032-000497号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社　グリーンハウス,霧島市国分上小川８６７−２,,0995-56-8686  ,ゼロエイチサンキュウロクヨンカゴシマ,０Ｈ３９６４　鹿児島,,令和2年9月18日,令和8年10月31日
第032-000501号,飲食店営業（その他）,有限会社　鹿児島ラーメン,霧島市国分上之段３６２−６,,0995-48-2042  ,チャンカラ,ちゃんから,,令和2年9月25日,令和8年10月31日
第032-000502号,飲食店営業（その他）,東　みな,霧島市国分中央３−９−６,平田ビル２Ｆ,,ティダバー,Ｔｉｄａ　Ｂａｒ,,令和2年9月25日,令和8年10月31日
第032-000507号,乳類販売業,ワタミ株式会社,霧島市国分新町１２１３−１,,,ワタミカゴシマコクブエイギョウショ,ワタミ(株)　鹿児島国分営業所,,令和2年9月25日,令和8年10月31日
第032-000503号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,前田　裕樹,霧島市溝辺町麓６０８−７,,,タイコウラーメン,太閤ラーメン,,令和2年9月25日,令和8年10月31日
第032-000504号,飲食店営業（その他）,上之園　健,霧島市隼人町内山田２−１８−２２,,,ワゴコロケン,和ごころ健,,令和2年9月25日,令和8年10月31日
第032-000505号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,川畑　明香,霧島市国分清水１−２２−２１,,,ヲカシヤ,をかしや,,令和2年9月25日,令和8年10月31日
第032-000506号,菓子製造業,川畑　明香,霧島市国分清水１−２２−２１,,,ヲカシヤ,をかしや,,令和2年9月25日,令和8年10月31日
第032-000510号,菓子製造業,株式会社おおさこ,姶良市蒲生町下久徳１６３−１,,0995-52-0208  ,ダイフクヤ,だいふくや,,令和2年9月28日,令和8年10月31日
第032-000508号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,野崎　聖子,霧島市国分中央３−１１−２１　２０１号室,,,プティーエトワール,ｐｅｔｉｔｅ　ｅｔｉｌｅ,,令和2年9月28日,令和8年10月31日
第032-000509号,乳類販売業,ワタミ株式会社,姶良市西餠田１１２９−１−１,,,ワタミカブシキカイシャ　ワタミノタクショク　カゴシマアイラエイギョウショ,ワタミ株式会社　ワタミの宅食　鹿児島姶良営業所,,令和2年9月28日,令和8年10月31日
第032-000511号,菓子製造業,有限会社　かわいち国分,霧島市隼人町姫城５８７−１,,0995-43-2209  ,カワイチコクブ,有限会社　かわいち国分,,令和2年9月28日,令和7年10月31日
第032-000513号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社ジェイ．エイチ．ブライト,姶良市東餠田２３５８,,0995-66-1017  ,ヤキニクノデンドウ,焼肉の殿堂,,令和2年9月30日,令和8年10月31日
第032-000512号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,石原　勝久,霧島市牧園町高千穂３８８５−５１,,0995-78-2530  ,サツマジ,さつま路,,令和2年9月29日,令和8年10月31日
第032-000138号,飲食店営業（その他）,株式会社　岡留蒲鉾本舗,志布志市志布志町安楽245-2,,099-473-3468  ,カブシキガイオカドメ　アンラクオンセンバイテン,,株式会社岡留蒲鉾本舗　安楽温泉売店,令和2年9月10日,令和7年10月31日
第032-000139号,飲食店営業（その他）,永野　玲子,志布志市志布志町志布志3-23-5　アーク26　1F-D,,099-473-3215  ,ドラエモン,,スナックどらえもん,令和2年9月10日,令和8年10月31日
第032-000143号,飲食店営業（その他）,石原　貴幸,志布志市志布志町志布志3-20-3　ﾂｷﾞｬｻﾞｰﾋﾞﾙ1F-B号室,,,バースプール,Ｂａｒ　ｓｐｕＬ,,令和2年9月17日,令和8年10月31日
第032-000142号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,城元　純一,曽於郡大崎町横瀬1610-1,,,タイシュウチュウカショクドウ　アジセン,大衆中華食堂　味仙,,令和2年9月24日,令和8年10月31日
第032-000144号,菓子製造業,株式会社センリファーム,曽於市末吉町深川7613-1,,,カブシキガイシャセンリ　カグラザカゴジュウバンカゴシマコウジョウ,株式会社センリファーム　神楽坂五十番鹿児島工場,,令和2年9月24日,令和8年10月31日
第032-000145号,そうざい製造業,株式会社センリファーム,曽於市末吉町深川7613-1,,,カブシキガイシャセンリ　カグラザカゴジュウバンカゴシマコウジョウ,株式会社センリファーム　神楽坂五十番鹿児島工場,,令和2年9月24日,令和8年10月31日
第032-000146号,乳類販売業,有限会社財部新聞販売センター,曽於市末吉町二之方6391,,0986-76-0005  ,メイジスエヨシギュウニュウハンバイ,明治末吉牛乳販売,,令和2年9月28日,令和8年10月31日
第032-000438号,飲食店営業（仕出し屋・弁当屋）,合同会社Ｌｅｆｌｅｔ,鹿屋市今坂町１００９８−４,,0994-35-0020  ,ルフレ,合同会社Ｌｅｆｌｅｔ,,令和2年9月1日,令和8年10月31日
第032-000439号,魚介類販売業,下津　正一郎,垂水市牛根麓９−４,,,ウオヤスショウテン,魚安商店,,令和2年9月3日,令和7年10月31日
第032-000442号,飲食店営業（その他）,谷　弘行,鹿屋市本町５−１２,若松ビル１階１００号室,,タニジイボクジョウ,谷じい牧場,,令和2年9月8日,令和8年10月31日
第032-000443号,飲食店営業（その他）,谷　弘行,鹿屋市寿１−５−２３,,,キッチンカータニジイボクジョウ,キッチンカー谷じい牧場（鹿児島 800 せ 308）,,令和2年9月8日,令和8年10月31日
第032-000444号,食肉販売業,西日本フード株式会社,鹿屋市札元２−３７６７−１,,0994-40-0560  ,ニシニホフードカブシキカイシャ,西日本フード株式会社,,令和2年9月8日,令和8年10月31日
第032-000445号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,駿河　義一,鹿屋市札元１−１５−２０,総合システムビル１０１号,,シュン,駿,,令和2年9月8日,令和8年10月31日
第032-000440号,食品の冷凍または冷蔵業,湯前　慎貴,肝属郡南大隅町根占川北３６９,,,ノリピッツァ,ＮＯＲＩ　ＰＩＺＺＡ,,令和2年9月8日,令和8年10月31日
第032-000441号,飲食店営業（その他）,株式会社シオン,鹿屋市本町３−８　スカイビル３F　３０５号,,0994-44-8375  ,シオン,紫音,,令和2年9月8日,令和8年10月31日
第032-000446号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社　物語コーポレーション,鹿屋市寿８−１−３,,0994-35-1690  ,マルゲンラーメン　カノヤテン,丸源ラーメン　鹿屋店,,令和2年9月10日,令和8年10月31日
第032-000447号,飲食店営業（その他）,小田　悦子,鹿屋市向江町２４−２０,,0994-43-0234  ,カノヤムカエチョウテン,ローソン　鹿屋向江町店,,令和2年9月10日,令和8年10月31日
第032-000448号,乳類販売業,小田　悦子,鹿屋市向江町２４−２０,,0994-43-0234  ,カノヤムカエチョウテン,ローソン　鹿屋向江町店,,令和2年9月10日,令和8年10月31日
第032-000449号,食肉販売業,小田　悦子,鹿屋市向江町２４−２０,,0994-43-0234  ,カノヤムカエチョウテン,ローソン　鹿屋向江町店,,令和2年9月10日,令和8年10月31日
第032-000450号,魚介類販売業,小田　悦子,鹿屋市向江町２４−２０,,0994-43-0234  ,カノヤムカエチョウテン,ローソン　鹿屋向江町店,,令和2年9月10日,令和8年10月31日
第032-000452号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,有村　博暁,鹿屋市共栄町１８−２５,,0994-45-5653  ,バレアリカ,ｃａｆｅ　ａｎｄ　ｂａｒ　Ｂａｌｅａｒｉｃａ,,令和2年9月11日,令和8年10月31日
第032-000453号,菓子製造業,株式会社　寿商会,鹿屋市北田町７２４２−１,,,コトブキチーズ,ＫＯＴＯＢＵＫＩ　ＣＨＥＥＳＥ,,令和2年9月11日,令和8年10月31日
第032-000451号,飲食店営業（仕出し屋・弁当屋）,大久保　雅之,鹿屋市白水町３２８,,0994-36-8122  ,コムス,ＫＯＭＳ,,令和2年9月10日,令和8年10月31日
第032-000454号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社ファーム・サメシマ,鹿屋市札元１−８−７,,0994-52-0052  ,カノヤシロクマカフェ,鹿屋しろくまカフェ,,令和2年9月15日,令和8年10月31日
第032-000456号,飲食店営業（その他）,徳永　美智子,鹿屋市朝日町１−４,,,ココ,ＣＯＣＯ,,令和2年9月16日,令和8年10月31日
第032-000457号,飲食店営業（その他）,原田　恵美子,鹿屋市本町４−８,,,エミコ,恵美子,,令和2年9月16日,令和8年10月31日
第032-000458号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社　快活フロンティア,鹿屋市王子町３９７１−１,,,カイカツクラブ　カノヤテ,快活ＣＬＵＢ　鹿屋店,,令和2年9月16日,令和8年10月31日
第032-000459号,菓子製造業,柏　昭仁,鹿屋市串良町細山田４９３８,,0994-31-0311  ,,ｋａｓｈｉｗａ　ｆａｒｍ,,令和2年9月16日,令和8年10月31日
第032-000455号,飲食店営業（その他）,松岡　洋樹,鹿屋市本町５−１６　エコープラザビル２Ｆ　２０８号,,,チョットバー,ＣＨＯＴＴＯ　ＢＡＲ,,令和2年9月16日,令和8年10月31日
第032-000460号,魚肉練り製品製造業,内田　忠文,鹿屋市高須町１６０２,,0994-47-2020  ,カメヤ,かめや,,令和2年9月16日,令和8年10月31日
第032-000462号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社Ｓ．Ｍ．Ｇ,鹿屋市白崎町１５−２６,,0994-45-7643  ,スリードッグス,窯ｋｉｔｃｈｅｎ　３ｄｏｇｓ,,令和2年9月23日,令和8年10月31日
第032-000468号,酒類製造業,株式会社 Ｈｏｎｅｙ Ｆｏｒｅｓｔ Ｂｒｅｗｉｎｇ,肝属郡南大隅町根占川南３７８８,,,ハニーフォレストブルーイング,Ｈｏｎｅｙ Ｆｏｒｅｓｔ Ｂｒｅｗｉｎｇ,,令和2年9月24日,令和8年10月31日
第032-000469号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,株式会社 Ｈｏｎｅｙ Ｆｏｒｅｓｔ Ｂｒｅｗｉｎｇ,肝属郡南大隅町根占川南３７８８,,,ハニーフォレストブルーイング,Ｈｏｎｅｙ Ｆｏｒｅｓｔ Ｂｒｅｗｉｎｇ,,令和2年9月24日,令和8年10月31日
第032-000466号,乳製品製造業,_田　香織,肝属郡南大隅町根占横別府３４８４−６,,09942-4-2851  ,トクヨウリンサンブツカコウセンター,特用林産物加工センター，,ｈｅｌｌｏ！　ｂｒａｎｄ　ｎｅｗｄａｙｓ,令和2年9月24日,令和8年10月31日
第032-000467号,缶詰又は瓶詰食品製造業,_田　香織,肝属郡南大隅町根占横別府３４８４−６,,09942-4-2851  ,トクヨウリンサンブツカコウセンター,特用林産物加工センター，,ｈｅｌｌｏ！　ｂｒａｎｄ　ｎｅｗｄａｙｓ,令和2年9月24日,令和8年10月31日
第032-000471号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,西村　保博,肝属郡肝付町波見１５８７−１,,,ゲツトウノヤド,御食事処　月桃の宿,,令和2年9月24日,令和8年10月31日
第032-000470号,乳類販売業,ワタミ株式会社,鹿屋市新川町８０２,,,ワタミノタクショク　カゴシマオオスミエイギョウショ,ワタミの宅食　鹿児島大隅営業所,,令和2年9月24日,令和8年10月31日
第032-000474号,菓子製造業,松延　房子,肝属郡錦江町神川１８７４−１,,,オオネジメノウサンブツカコウグループ,大根占農産物加工グループ,,令和2年9月28日,令和8年10月31日
第032-000475号,みそ製造業,松延　房子,肝属郡錦江町神川１８７４−１,,,オオネジメノウサンブツカコウグループ,大根占農産物加工グループ,,令和2年9月28日,令和8年10月31日
第032-000476号,缶詰又は瓶詰食品製造業,松延　房子,肝属郡錦江町神川１８７４−１,,,オオネジメノウサンブツカコウグループ,大根占農産物加工グループ,,令和2年9月28日,令和8年10月31日
第032-000477号,ソース類製造業,松延　房子,肝属郡錦江町神川１８７４−１,,,オオネジメノウサンブツカコウグループ,大根占農産物加工グループ,,令和2年9月28日,令和8年10月31日
第032-000478号,そうざい製造業,松延　房子,肝属郡錦江町神川１８７４−１,,,オオネジメノウサンブツカコウグループ,大根占農産物加工グループ,,令和2年9月28日,令和8年10月31日
第032-000479号,飲食店営業（旅館）,株式会社　寿商会,鹿屋市北田町５−４０,,0994-36-8045  ,コトブキホテル,Ｋｏｔｏｂｕｋｉ　Ｈｏｔｅｌ,,令和2年9月29日,令和8年10月31日
第032-000480号,飲食店営業（その他）,株式会社　寿商会,鹿屋市北田町５−４０,,0994-36-8048  ,バーベブ,ｂａｒ　ＢＥＢＵ,,令和2年9月29日,令和8年10月31日
第032-000481号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,特定非営利活動法人窪田福祉会,鹿屋市古里町７２８−１,,,アジサイ,ランチ　あじさい,,令和2年9月30日,令和8年10月31日
第032-000482号,菓子製造業,特定非営利活動法人窪田福祉会,鹿屋市古里町７２８−１,,,シン,タルト工房　しん,,令和2年9月30日,令和8年10月31日
第032-000110号,食品の冷凍または冷蔵業,松山　孔夫,熊毛郡南種子町中之上２７６８−２,,0997-26-1298  ,ソウルキッチン,ソウルキッチン,,令和2年9月23日,令和8年10月31日
第032-000111号,飲食店営業（その他）,財務経理マネジメント株式会社,熊毛郡南種子町中之上２４９７−２,,,ダイニング　ナナトゥー,ダイニング　NanaToo,,令和2年9月30日,令和8年10月31日
第032-000179号,飲食店営業（仕出し屋・弁当屋）,恵　夕喜子,奄美市名瀬幸町12−5久保ビル102号,,,マゴワヤサシイキッチンココカラ,マゴワヤサシイキッチン　ここから,,令和2年9月2日,令和8年10月31日
第032-000180号,飲食店営業（旅館）,株式会社　福栄商事,大島郡喜界町湾540−7,,0997-65-0259  ,ベッカンギナマソウ,別館ぎなま荘,,令和2年9月7日,令和8年10月31日
第032-000181号,菓子製造業,小久保　裕之,奄美市笠利町屋仁55,,0997-63-1662  ,カリン,花りん,,令和2年9月7日,令和8年10月31日
第032-000182号,飲食店営業（その他）,イゾラリゾート株式会社,奄美市笠利町節田1810−1,,,イゾラリゾート,イゾラリゾート,,令和2年9月10日,令和8年10月31日
第032-000183号,菓子製造業,イゾラリゾート株式会社,奄美市笠利町節田1810−1,,,イゾラリゾート,イゾラリゾート,,令和2年9月10日,令和8年10月31日
第032-000184号,飲食店営業（その他）,株式会社　ＵＫコーポレーション,奄美市名瀬金久町12−4　ラポールビル305,,,ミシュラン,美酒乱,,令和2年9月10日,令和8年10月31日
第032-000185号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,手蓑　勇次,奄美市名瀬金久町12−4　ラポールビル102,,0997-54-0008  ,ミノ,お食事処　蓑,,令和2年9月10日,令和8年10月31日
第032-000186号,菓子製造業,永井　京子,大島郡瀬戸内町手安９０４−５,,0997-72-4575  ,コニヤツムグヤ,こにや紡ぐや,,令和2年9月11日,令和8年10月31日
